campaign_id,impressions,clicks,conversions,revenue,spend,CTR,CVR,response_rate,CPC,CAC,ROAS,AOV,reached_customers,channel,objective,start_date,spend_per_customer
CMP-028,96.0,5.0,4.0,820.6499999999999,70.07000000000001,0.052083333333333336,0.8,0.11764705882352941,14.014000000000001,17.517500000000002,11.711859569002423,205.16249999999997,34.0,email,Cross-sell,2025-03-12,2.0608823529411766
CMP-029,484.0,21.0,7.0,1137.1399999999999,450.12,0.04338842975206612,0.3333333333333333,0.14285714285714285,21.434285714285714,64.30285714285715,2.526304096685328,162.4485714285714,49.0,social,Retention,2024-09-20,9.186122448979592
CMP-030,905.0,6.0,13.0,4500.540000000001,1490.0499999999997,0.0066298342541436465,2.1666666666666665,0.23076923076923078,248.3416666666666,114.61923076923075,3.0203952887487007,346.1953846153847,52.0,tv,Cross-sell,2024-12-12,28.65480769230769
CMP-031,229.0,16.0,7.0,1371.79,219.85,0.06986899563318777,0.4375,0.06451612903225806,13.740625,31.407142857142855,6.23966340686832,195.97,62.0,email,Acquisition,2024-04-11,3.545967741935484
CMP-032,101.0,18.0,3.0,754.31,70.04,0.1782178217821782,0.16666666666666666,0.08823529411764706,3.8911111111111114,23.346666666666668,10.769703026841803,251.43666666666664,34.0,email,Cross-sell,2024-06-25,2.06
CMP-033,148.0,14.0,1.0,168.11,90.0,0.0945945945945946,0.07142857142857142,0.017543859649122806,6.428571428571429,90.0,1.867888888888889,168.11,57.0,email,Brand,2024-03-15,1.5789473684210527
CMP-034,374.0,42.0,16.0,4559.79,979.88,0.11229946524064172,0.38095238095238093,0.1875,23.33047619047619,61.2425,4.65341674490754,284.986875,80.0,search,Cross-sell,2024-07-01,12.2485
CMP-035,292.0,17.0,5.0,779.96,230.0,0.05821917808219178,0.29411764705882354,0.10204081632653061,13.529411764705882,46.0,3.391130434782609,155.99200000000002,49.0,social,Retention,2025-09-14,4.6938775510204085
CMP-036,146.0,29.0,7.0,1774.96,360.01,0.19863013698630136,0.2413793103448276,0.15555555555555556,12.414137931034482,51.43,4.930307491458571,253.56571428571428,45.0,search,Acquisition,2025-03-20,8.000222222222222
CMP-037,493.0,9.0,1.0,165.71,210.02000000000004,0.018255578093306288,0.1111111111111111,0.023809523809523808,23.33555555555556,210.02000000000004,0.7890200933244452,165.71,42.0,display,Brand,2025-10-06,5.000476190476191
CMP-038,143.0,13.0,1.0,229.59,480.02000000000004,0.09090909090909091,0.07692307692307693,0.029411764705882353,36.924615384615386,480.02000000000004,0.478292571142869,229.59,34.0,search,Acquisition,2025-03-18,14.118235294117648
CMP-039,198.0,23.0,7.0,1400.3,610.0000000000001,0.11616161616161616,0.30434782608695654,0.21428571428571427,26.52173913043479,87.14285714285715,2.295573770491803,200.04285714285714,28.0,search,Brand,2025-10-07,21.78571428571429
CMP-040,216.0,26.0,3.0,767.8599999999999,610.02,0.12037037037037036,0.11538461538461539,0.075,23.462307692307693,203.34,1.2587456148978722,255.9533333333333,40.0,search,Acquisition,2024-05-14,15.250499999999999
CMP-041,191.0,15.0,5.0,1073.67,150.10000000000005,0.07853403141361257,0.3333333333333333,0.08196721311475409,10.00666666666667,30.02000000000001,7.153031312458359,214.734,61.0,email,Acquisition,2025-05-07,2.460655737704919
CMP-042,265.0,3.0,0.0,0.0,110.05000000000001,0.011320754716981131,0.0,0.0,36.68333333333334,,0.0,,29.0,display,Acquisition,2025-08-17,3.794827586206897
CMP-043,557.0,1.0,9.0,2867.6800000000003,840.04,0.0017953321364452424,9.0,0.15555555555555556,840.04,93.33777777777777,3.4137422027522506,318.6311111111111,45.0,tv,Retention,2025-12-19,18.667555555555555
CMP-044,225.0,19.0,2.0,490.03999999999996,230.02,0.08444444444444445,0.10526315789473684,0.046511627906976744,12.106315789473685,115.01,2.1304234414398744,245.01999999999998,43.0,email,Acquisition,2024-01-23,5.349302325581395
CMP-045,661.0,88.0,33.0,7702.96,1880.1299999999999,0.13313161875945537,0.375,0.24603174603174602,21.365113636363635,56.97363636363636,4.097035843266157,233.42303030303032,126.0,search,Acquisition,2024-04-01,14.921666666666665
CMP-046,554.0,35.0,3.0,403.84000000000003,450.07,0.0631768953068592,0.08571428571428572,0.04225352112676056,12.859142857142857,150.02333333333334,0.8972826449219011,134.61333333333334,71.0,social,Brand,2025-08-11,6.339014084507042
CMP-047,413.0,23.0,3.0,494.09000000000003,330.0199999999999,0.05569007263922518,0.13043478260869565,0.04285714285714286,14.34869565217391,110.00666666666665,1.4971516877764988,164.6966666666667,70.0,social,Acquisition,2024-09-17,4.7145714285714275
CMP-048,615.0,31.0,5.0,875.95,529.9899999999999,0.05040650406504065,0.16129032258064516,0.05063291139240506,17.096451612903223,105.99799999999998,1.6527670333402522,175.19,79.0,social,Retention,2024-08-25,6.708734177215189
CMP-049,159.0,12.0,2.0,409.54999999999995,150.01000000000002,0.07547169811320754,0.16666666666666666,0.05714285714285714,12.500833333333334,75.00500000000001,2.7301513232451162,204.77499999999998,35.0,email,Retention,2024-12-06,4.2860000000000005
CMP-050,766.0,38.0,6.0,1170.1599999999999,650.0299999999999,0.04960835509138381,0.15789473684210525,0.0594059405940594,17.106052631578944,108.33833333333331,1.8001630693967972,195.02666666666664,101.0,social,Retention,2024-01-15,6.435940594059405
CMP-051,198.0,31.0,12.0,2965.6899999999996,469.94000000000005,0.15656565656565657,0.3870967741935484,0.21153846153846154,15.15935483870968,39.16166666666667,6.310784355449631,247.1408333333333,52.0,search,Retention,2024-05-14,9.037307692307694
CMP-052,143.0,23.0,10.0,2526.0800000000004,320.02000000000004,0.16083916083916083,0.43478260869565216,0.1956521739130435,13.913913043478262,32.002,7.893506655834011,252.60800000000003,46.0,search,Brand,2025-11-13,6.956956521739131
CMP-053,555.0,6.0,6.0,1818.0,1070.0,0.010810810810810811,1.0,0.20833333333333334,178.33333333333334,178.33333333333334,1.6990654205607476,303.0,24.0,tv,Retention,2024-07-14,44.583333333333336
CMP-054,114.0,15.0,8.0,1883.5500000000002,240.07000000000002,0.13157894736842105,0.5333333333333333,0.21052631578947367,16.00466666666667,30.008750000000003,7.84583663098263,235.44375000000002,38.0,search,Retention,2024-10-07,6.317631578947369
CMP-055,45.0,5.0,2.0,335.12,29.989999999999995,0.1111111111111111,0.4,0.1111111111111111,5.997999999999999,14.994999999999997,11.174391463821276,167.56,18.0,email,Acquisition,2024-11-22,1.6661111111111109
CMP-056,178.0,21.0,12.0,3291.8599999999997,420.08,0.11797752808988764,0.5714285714285714,0.24390243902439024,20.003809523809522,35.00666666666667,7.836269282041515,274.32166666666666,41.0,search,Retention,2024-11-17,10.245853658536586
CMP-057,153.0,13.0,3.0,873.25,299.92,0.08496732026143791,0.23076923076923078,0.05714285714285714,23.070769230769233,99.97333333333334,2.911609762603361,291.0833333333333,35.0,search,Acquisition,2024-07-06,8.569142857142857
CMP-058,525.0,3.0,15.0,4423.35,830.0299999999999,0.005714285714285714,5.0,0.3157894736842105,276.6766666666666,55.335333333333324,5.329144729708566,294.89000000000004,38.0,tv,Retention,2024-11-10,21.8428947368421
CMP-059,106.0,17.0,14.0,3793.5900000000006,340.01,0.16037735849056603,0.8235294117647058,0.5,20.000588235294117,24.28642857142857,11.157289491485546,270.97071428571434,22.0,search,Retention,2024-09-12,15.455
CMP-060,160.0,22.0,8.0,1927.3000000000002,99.97,0.1375,0.36363636363636365,0.1,4.544090909090909,12.49625,19.27878363509053,240.91250000000002,70.0,email,Cross-sell,2025-08-03,1.4281428571428572
CMP-061,689.0,11.0,1.0,187.91,260.02,0.015965166908563134,0.09090909090909091,0.015151515151515152,23.638181818181817,260.02,0.7226751788323975,187.91,66.0,display,Retention,2024-07-23,3.9396969696969695
CMP-062,362.0,39.0,25.0,5744.97,769.99,0.10773480662983426,0.6410256410256411,0.19166666666666668,19.743333333333332,30.7996,7.461096897362304,229.7988,120.0,search,Retention,2025-12-26,6.4165833333333335
CMP-063,631.0,86.0,17.0,3742.87,1599.9500000000005,0.13629160063391443,0.19767441860465115,0.1271186440677966,18.604069767441867,94.11470588235296,2.339366855214225,220.16882352941175,118.0,search,Acquisition,2025-04-23,13.55889830508475
CMP-064,188.0,17.0,7.0,1300.63,159.94,0.09042553191489362,0.4117647058823529,0.09615384615384616,9.408235294117647,22.84857142857143,8.131986995123173,185.80428571428573,52.0,email,Cross-sell,2024-12-23,3.0757692307692306
CMP-065,299.0,50.0,17.0,4233.85,669.7900000000002,0.16722408026755853,0.34,0.18072289156626506,13.395800000000003,39.399411764705896,6.321160363696083,249.05,83.0,search,Brand,2025-02-14,8.06975903614458
CMP-066,230.0,25.0,9.0,2314.8699999999994,569.9399999999999,0.10869565217391304,0.36,0.14545454545454545,22.7976,63.32666666666666,4.061602975751833,257.2077777777777,55.0,search,Retention,2024-03-01,10.362545454545453
CMP-067,193.0,13.0,0.0,0.0,130.0,0.06735751295336788,0.0,0.0,10.0,,0.0,,37.0,social,Acquisition,2025-07-01,3.5135135135135136
CMP-068,126.0,15.0,7.0,1674.0,279.96000000000004,0.11904761904761904,0.4666666666666667,0.17073170731707318,18.664,39.994285714285716,5.979425632233175,239.14285714285714,41.0,search,Retention,2025-02-05,6.82829268292683
CMP-069,347.0,15.0,3.0,542.46,219.99,0.043227665706051875,0.2,0.04477611940298507,14.666,73.33,2.465839356334379,180.82000000000002,67.0,social,Acquisition,2025-05-11,3.2834328358208955
CMP-070,4735.0,34.0,62.0,19845.83,6570.4,0.007180570221752904,1.8235294117647058,0.12026726057906459,193.24705882352941,105.97419354838709,3.0204903811031296,320.09403225806454,449.0,tv,Retention,2024-06-23,14.633407572383073
CMP-071,390.0,45.0,11.0,2587.33,910.0100000000002,0.11538461538461539,0.24444444444444444,0.1111111111111111,20.22244444444445,82.72818181818184,2.843188536389709,235.2118181818182,90.0,search,Acquisition,2025-05-05,10.111222222222224
CMP-072,174.0,27.0,11.0,2681.55,330.01,0.15517241379310345,0.4074074074074074,0.16666666666666666,12.222592592592592,30.00090909090909,8.125662858701252,243.77727272727273,54.0,search,Retention,2024-05-13,6.111296296296296
CMP-073,293.0,33.0,6.0,1517.4299999999998,710.05,0.11262798634812286,0.18181818181818182,0.0967741935483871,21.516666666666666,118.34166666666665,2.1370748538835294,252.90499999999997,62.0,search,Brand,2025-01-05,11.452419354838709
CMP-074,311.0,32.0,5.0,1174.6100000000001,940.07,0.10289389067524116,0.15625,0.08064516129032258,29.3771875,188.014,1.2494920591019818,234.92200000000003,62.0,search,Acquisition,2024-04-24,15.162419354838711
CMP-075,95.0,11.0,5.0,1202.4,69.95999999999998,0.11578947368421053,0.45454545454545453,0.1111111111111111,6.3599999999999985,13.991999999999996,17.186963979416817,240.48000000000002,45.0,email,Retention,2025-01-03,1.5546666666666662
CMP-076,204.0,12.0,1.0,195.64,159.95000000000002,0.058823529411764705,0.08333333333333333,0.013888888888888888,13.329166666666667,159.95000000000002,1.2231322288215065,195.64,72.0,email,Acquisition,2025-09-18,2.221527777777778
CMP-077,193.0,26.0,7.0,1621.04,520.02,0.13471502590673576,0.2692307692307692,0.13636363636363635,20.00076923076923,74.28857142857143,3.1172647205876696,231.57714285714286,44.0,search,Acquisition,2024-02-15,11.818636363636363
CMP-078,83.0,7.0,2.0,300.69,69.99000000000001,0.08433734939759036,0.2857142857142857,0.07407407407407407,9.998571428571429,34.995000000000005,4.296185169309901,150.345,27.0,email,Retention,2024-01-24,2.5922222222222224
CMP-079,180.0,28.0,19.0,4827.83,320.05,0.15555555555555556,0.6785714285714286,0.27419354838709675,11.430357142857144,16.844736842105263,15.084611779409466,254.0963157894737,62.0,search,Cross-sell,2025-09-25,5.162096774193548
CMP-080,386.0,30.0,5.0,1066.95,320.04999999999995,0.07772020725388601,0.16666666666666666,0.07462686567164178,10.668333333333331,64.00999999999999,3.333697859709421,213.39000000000001,67.0,social,Brand,2025-11-27,4.77686567164179
CMP-081,128.0,10.0,2.0,528.0600000000001,90.0,0.078125,0.2,0.045454545454545456,9.0,45.0,5.867333333333334,264.03000000000003,44.0,email,Acquisition,2025-11-12,2.0454545454545454
CMP-082,327.0,21.0,4.0,556.73,299.96000000000004,0.06422018348623854,0.19047619047619047,0.07142857142857142,14.283809523809525,74.99000000000001,1.8560141352180288,139.1825,56.0,social,Acquisition,2024-10-19,5.356428571428572
CMP-083,536.0,26.0,7.0,1493.8400000000001,440.03000000000003,0.048507462686567165,0.2692307692307692,0.075,16.92423076923077,62.861428571428576,3.3948594414017226,213.4057142857143,80.0,social,Retention,2025-10-21,5.500375
CMP-084,238.0,22.0,11.0,2161.5499999999997,239.99,0.09243697478991597,0.5,0.2391304347826087,10.908636363636363,21.817272727272726,9.006833618067418,196.50454545454542,46.0,email,Retention,2025-10-23,5.217173913043479
CMP-085,232.0,4.0,0.0,0.0,199.99999999999997,0.017241379310344827,0.0,0.0,49.99999999999999,,0.0,,37.0,social,Cross-sell,2025-06-12,5.405405405405404
CMP-086,74.0,12.0,8.0,2445.4300000000003,139.98,0.16216216216216217,0.6666666666666666,0.21875,11.665,17.4975,17.46985283611945,305.67875000000004,32.0,search,Cross-sell,2024-10-06,4.374375
CMP-087,288.0,23.0,5.0,735.55,249.98999999999998,0.0798611111111111,0.21739130434782608,0.12195121951219512,10.869130434782608,49.998,2.942317692707708,147.10999999999999,41.0,social,Brand,2024-11-09,6.097317073170731
CMP-088,553.0,49.0,14.0,2256.32,610.0399999999998,0.08860759493670886,0.2857142857142857,0.10909090909090909,12.449795918367343,43.5742857142857,3.698642711953316,161.1657142857143,110.0,email,Acquisition,2024-09-08,5.545818181818181
CMP-089,272.0,12.0,1.0,175.44,229.98,0.04411764705882353,0.08333333333333333,0.023255813953488372,19.165,229.98,0.7628489433863814,175.44,43.0,social,Brand,2024-02-17,5.348372093023255
CMP-090,355.0,17.0,2.0,191.5,279.89,0.04788732394366197,0.11764705882352941,0.034482758620689655,16.464117647058824,139.945,0.6841973632498481,95.75,58.0,social,Brand,2025-02-03,4.825689655172414
CMP-091,263.0,17.0,2.0,416.03999999999996,199.9,0.06463878326996197,0.11764705882352941,0.05,11.758823529411766,99.95,2.081240620310155,208.01999999999998,40.0,social,Acquisition,2024-04-02,4.9975000000000005
CMP-092,306.0,18.0,4.0,674.82,289.9800000000001,0.058823529411764705,0.2222222222222222,0.07894736842105263,16.110000000000003,72.49500000000002,2.327126008690254,168.705,38.0,social,Acquisition,2025-12-15,7.6310526315789495
CMP-093,119.0,17.0,7.0,1699.53,239.98000000000005,0.14285714285714285,0.4117647058823529,0.2413793103448276,14.116470588235297,34.28285714285715,7.081965163763646,242.79,29.0,search,Cross-sell,2024-07-26,8.275172413793104
CMP-094,109.0,11.0,5.0,927.58,59.95000000000001,0.10091743119266056,0.45454545454545453,0.1,5.450000000000001,11.990000000000002,15.472560467055878,185.51600000000002,50.0,email,Retention,2024-03-07,1.1990000000000003
CMP-095,109.0,14.0,3.0,695.69,249.97,0.12844036697247707,0.21428571428571427,0.08333333333333333,17.855,83.32333333333334,2.7830939712765534,231.89666666666668,36.0,search,Acquisition,2025-11-25,6.943611111111111
CMP-096,403.0,60.0,20.0,5458.51,879.9399999999999,0.1488833746898263,0.3333333333333333,0.1875,14.665666666666665,43.997,6.203275223310681,272.9255,96.0,search,Acquisition,2024-03-22,9.166041666666667
CMP-097,219.0,21.0,9.0,1993.0800000000004,539.9599999999999,0.0958904109589041,0.42857142857142855,0.17777777777777778,25.712380952380947,59.99555555555555,3.691162308319136,221.45333333333338,45.0,search,Retention,2024-10-19,11.999111111111109
CMP-098,284.0,14.0,2.0,278.08000000000004,210.09,0.04929577464788732,0.14285714285714285,0.043478260869565216,15.006428571428572,105.045,1.3236232091008617,139.04000000000002,46.0,social,Brand,2025-07-03,4.5671739130434785
CMP-099,264.0,7.0,0.0,0.0,220.01,0.026515151515151516,0.0,0.0,31.43,,0.0,,43.0,social,Cross-sell,2025-03-15,5.116511627906976
CMP-100,750.0,14.0,4.0,525.56,329.99999999999994,0.018666666666666668,0.2857142857142857,0.06896551724137931,23.571428571428566,82.49999999999999,1.5926060606060608,131.39,58.0,display,Brand,2025-04-09,5.689655172413792
CMP-101,601.0,47.0,10.0,1795.1499999999999,439.91000000000014,0.07820299500831947,0.2127659574468085,0.09259259259259259,9.359787234042557,43.991000000000014,4.080721056579753,179.515,108.0,social,Retention,2025-02-17,4.073240740740742
CMP-102,358.0,4.0,1.0,116.78,139.96,0.0111731843575419,0.25,0.037037037037037035,34.99,139.96,0.8343812517862246,116.78,27.0,display,Cross-sell,2025-01-04,5.183703703703704
CMP-103,823.0,14.0,3.0,298.37,369.86999999999995,0.01701093560145808,0.21428571428571427,0.05454545454545454,26.41928571428571,123.28999999999998,0.8066888366182714,99.45666666666666,55.0,display,Acquisition,2025-10-25,6.72490909090909
CMP-104,63.0,7.0,4.0,1121.99,110.00999999999999,0.1111111111111111,0.5714285714285714,0.2,15.715714285714284,27.502499999999998,10.19898191073539,280.4975,20.0,search,Retention,2025-06-11,5.5005
CMP-105,734.0,41.0,7.0,1091.33,619.99,0.055858310626702996,0.17073170731707318,0.06451612903225806,15.12170731707317,88.57000000000001,1.760238068355941,155.9042857142857,93.0,social,Brand,2024-02-24,6.666559139784947
CMP-106,113.0,11.0,4.0,687.0799999999999,70.06,0.09734513274336283,0.36363636363636365,0.08888888888888889,6.369090909090909,17.515,9.8070225520982,171.76999999999998,45.0,email,Cross-sell,2025-01-06,1.556888888888889
CMP-107,69.0,8.0,2.0,425.95,120.05,0.11594202898550725,0.25,0.09523809523809523,15.00625,60.025,3.5481049562682214,212.975,21.0,search,Cross-sell,2024-06-25,5.716666666666667
CMP-108,199.0,2.0,4.0,1423.88,239.99,0.010050251256281407,2.0,0.125,119.995,59.9975,5.933080545022709,355.97,24.0,tv,Acquisition,2024-11-15,9.999583333333334
CMP-109,446.0,49.0,19.0,3729.7299999999996,1299.88,0.10986547085201794,0.3877551020408163,0.22972972972972974,26.528163265306123,68.41473684210527,2.8692879342708553,196.3015789473684,74.0,search,Acquisition,2024-12-24,17.56594594594595
CMP-110,102.0,2.0,2.0,493.49,119.99999999999999,0.0196078431372549,1.0,0.10526315789473684,59.99999999999999,59.99999999999999,4.112416666666667,246.745,19.0,tv,Cross-sell,2024-04-13,6.31578947368421
CMP-111,614.0,12.0,6.0,759.87,250.01999999999998,0.019543973941368076,0.5,0.10909090909090909,20.834999999999997,41.669999999999995,3.039236861051116,126.645,55.0,display,Acquisition,2024-09-07,4.5458181818181815
CMP-112,500.0,10.0,0.0,0.0,200.00000000000003,0.02,0.0,0.0,20.000000000000004,,0.0,,37.0,display,Acquisition,2025-02-02,5.405405405405406
CMP-113,436.0,21.0,3.0,425.22999999999996,420.00000000000006,0.0481651376146789,0.14285714285714285,0.06976744186046512,20.000000000000004,140.00000000000003,1.0124523809523807,141.7433333333333,43.0,social,Cross-sell,2024-01-14,9.767441860465118
CMP-114,408.0,15.0,0.0,0.0,459.97999999999996,0.03676470588235294,0.0,0.0,30.66533333333333,,0.0,,33.0,social,Acquisition,2025-08-04,13.938787878787878
CMP-115,83.0,9.0,4.0,774.79,60.00999999999999,0.10843373493975904,0.4444444444444444,0.14285714285714285,6.6677777777777765,15.002499999999998,12.911014830861525,193.6975,28.0,email,Acquisition,2024-08-15,2.1432142857142855
CMP-116,142.0,9.0,3.0,842.23,120.08000000000001,0.06338028169014084,0.3333333333333333,0.05555555555555555,13.342222222222224,40.02666666666667,7.013907395069952,280.74333333333334,36.0,email,Acquisition,2025-06-20,3.335555555555556
CMP-117,843.0,20.0,2.0,362.13,340.03,0.02372479240806643,0.1,0.03076923076923077,17.0015,170.015,1.064994265211893,181.065,65.0,display,Acquisition,2025-07-05,5.231230769230769
CMP-118,121.0,13.0,4.0,668.0899999999999,100.02000000000001,0.10743801652892562,0.3076923076923077,0.1,7.693846153846154,25.005000000000003,6.679564087182562,167.02249999999998,40.0,email,Acquisition,2024-08-27,2.5005
CMP-119,218.0,12.0,3.0,724.8199999999999,170.04000000000002,0.05504587155963303,0.25,0.05,14.170000000000002,56.68000000000001,4.262644083745,241.60666666666665,60.0,email,Acquisition,2024-08-03,2.8340000000000005
CMP-120,243.0,0.0,5.0,1900.89,279.99,0.0,,0.12195121951219512,,55.998000000000005,6.789135326261652,380.178,41.0,tv,Retention,2025-05-08,6.8290243902439025
