campaign_id,campaign_name,objective,channel,start_date,duration_days,budget,end_date,start_date_key,end_date_key,channel_id,budget_band
CMP-088,Acquisition Email Sep24,Acquisition,email,2024-09-08,20,610.0,2024-09-28,20240908,20240928,2,€500-1K
CMP-089,Brand Social Feb24,Brand,social,2024-02-17,24,230.0,2024-03-12,20240217,20240312,3,€200-500
CMP-090,Brand Social Feb25,Brand,social,2025-02-03,35,280.0,2025-03-10,20250203,20250310,3,€200-500
CMP-091,Acquisition Social Apr24,Acquisition,social,2024-04-02,43,200.0,2024-05-15,20240402,20240515,3,< €200
CMP-092,Acquisition Social Dec25,Acquisition,social,2025-12-15,21,290.0,2025-12-31,20251215,20251231,3,€200-500
CMP-093,Cross-sell Search Jul24,Cross-sell,search,2024-07-26,19,240.0,2024-08-14,20240726,20240814,1,€200-500
CMP-094,Retention Email Mar24,Retention,email,2024-03-07,40,60.0,2024-04-16,20240307,20240416,2,< €200
CMP-095,Acquisition Search Nov25,Acquisition,search,2025-11-25,12,250.0,2025-12-07,20251125,20251207,1,€200-500
CMP-096,Acquisition Search Mar24,Acquisition,search,2024-03-22,21,880.0,2024-04-12,20240322,20240412,1,€500-1K
CMP-097,Retention Search Oct24,Retention,search,2024-10-19,43,540.0,2024-12-01,20241019,20241201,1,€500-1K
CMP-098,Brand Social Jul25,Brand,social,2025-07-03,40,210.0,2025-08-12,20250703,20250812,3,€200-500
CMP-099,Cross-sell Social Mar25,Cross-sell,social,2025-03-15,37,220.0,2025-04-21,20250315,20250421,3,€200-500
CMP-100,Brand Display Apr25,Brand,display,2025-04-09,40,330.0,2025-05-19,20250409,20250519,4,€200-500
CMP-101,Retention Social Feb25,Retention,social,2025-02-17,16,440.0,2025-03-05,20250217,20250305,3,€200-500
CMP-102,Cross-sell Display Jan25,Cross-sell,display,2025-01-04,9,140.0,2025-01-13,20250104,20250113,4,< €200
CMP-103,Acquisition Display Oct25,Acquisition,display,2025-10-25,39,370.0,2025-12-03,20251025,20251203,4,€200-500
CMP-104,Retention Search Jun25,Retention,search,2025-06-11,25,110.0,2025-07-06,20250611,20250706,1,< €200
CMP-105,Brand Social Feb24,Brand,social,2024-02-24,16,620.0,2024-03-11,20240224,20240311,3,€500-1K
CMP-106,Cross-sell Email Jan25,Cross-sell,email,2025-01-06,25,70.0,2025-01-31,20250106,20250131,2,< €200
CMP-107,Cross-sell Search Jun24,Cross-sell,search,2024-06-25,38,120.0,2024-08-02,20240625,20240802,1,< €200
CMP-108,Acquisition Tv Nov24,Acquisition,tv,2024-11-15,25,240.0,2024-12-10,20241115,20241210,5,€200-500
CMP-109,Acquisition Search Dec24,Acquisition,search,2024-12-24,30,1300.0,2025-01-23,20241224,20250123,1,> €1K
CMP-110,Cross-sell Tv Apr24,Cross-sell,tv,2024-04-13,26,120.0,2024-05-09,20240413,20240509,5,< €200
CMP-111,Acquisition Display Sep24,Acquisition,display,2024-09-07,25,250.0,2024-10-02,20240907,20241002,4,€200-500
CMP-112,Acquisition Display Feb25,Acquisition,display,2025-02-02,43,200.0,2025-03-17,20250202,20250317,4,< €200
CMP-113,Cross-sell Social Jan24,Cross-sell,social,2024-01-14,42,420.0,2024-02-25,20240114,20240225,3,€200-500
CMP-114,Acquisition Social Aug25,Acquisition,social,2025-08-04,23,460.0,2025-08-27,20250804,20250827,3,€200-500
CMP-115,Acquisition Email Aug24,Acquisition,email,2024-08-15,37,60.0,2024-09-21,20240815,20240921,2,< €200
CMP-116,Acquisition Email Jun25,Acquisition,email,2025-06-20,34,120.0,2025-07-24,20250620,20250724,2,< €200
CMP-117,Acquisition Display Jul25,Acquisition,display,2025-07-05,11,340.0,2025-07-16,20250705,20250716,4,€200-500
CMP-118,Acquisition Email Aug24,Acquisition,email,2024-08-27,39,100.0,2024-10-05,20240827,20241005,2,< €200
CMP-119,Acquisition Email Aug24,Acquisition,email,2024-08-03,33,170.0,2024-09-05,20240803,20240905,2,< €200
CMP-120,Retention Tv May25,Retention,tv,2025-05-08,39,280.0,2025-06-16,20250508,20250616,5,€200-500
