customer_id,customer_age,customer_segment,region,preferred_device,tenure_months,loyalty_member,email_opt_in,past_purchases_12m,app_sessions_30d,rfm_recency_days,rfm_frequency,rfm_monetary,rfm_segment,churn_probability,age_group,churn_risk_band,is_buyer
C00021,36,Regular,Czech Republic,mobile,40,0,1,0,4,,,,Prospect (no purchase),0.8558270344300649,36-45,High,False
C00022,30,Regular,Bratislava,mobile,16,1,0,0,1,,,,Prospect (no purchase),,26-35,,False
C00023,53,Loyal,Central Slovakia,mobile,57,1,1,0,3,,,,Prospect (no purchase),,46-55,,False
C00024,36,Loyal,Bratislava,mobile,28,0,1,1,2,237.0,3.0,856.77,Champions,0.7349468997234335,36-45,Medium,True
C00025,33,Loyal,Western Slovakia,desktop,69,1,1,4,7,382.0,2.0,823.9,Occasional Repeat,0.5755023588886178,26-35,Low,True
C00026,34,New,Central Slovakia,mobile,61,1,0,0,1,,,,Prospect (no purchase),0.8949198974941562,26-35,High,False
C00027,44,Regular,Central Slovakia,mobile,29,0,0,2,6,,,,Prospect (no purchase),,36-45,,False
C00028,42,New,Bratislava,desktop,43,0,1,2,11,,,,Prospect (no purchase),,36-45,,False
C00029,43,Loyal,Eastern Slovakia,mobile,2,1,0,0,4,670.0,1.0,232.94,One-off Lapsed,0.7877972608791296,36-45,Medium,True
C00030,43,Regular,Czech Republic,mobile,5,0,0,1,9,,,,Prospect (no purchase),0.9068697553625152,36-45,High,False
C00031,64,Regular,Western Slovakia,desktop,36,0,0,2,4,,,,Prospect (no purchase),0.8455415557528162,56+,High,False
C00032,33,New,Central Slovakia,desktop,34,0,1,1,2,,,,Prospect (no purchase),0.904763104395048,26-35,High,False
C00033,32,Regular,Eastern Slovakia,desktop,29,0,1,0,2,,,,Prospect (no purchase),,26-35,,False
C00034,28,Loyal,Bratislava,desktop,7,0,1,2,1,,,,Prospect (no purchase),0.7192539013293104,26-35,Medium,False
C00035,45,New,Eastern Slovakia,mobile,60,0,1,4,4,,,,Prospect (no purchase),0.8863756523600959,36-45,High,False
C00036,52,New,Bratislava,mobile,29,0,1,2,3,,,,Prospect (no purchase),,46-55,,False
C00037,37,At-Risk,Eastern Slovakia,tablet,34,1,0,6,6,582.0,1.0,146.97,One-off Lapsed,0.9092976459386304,36-45,High,True
C00038,28,Loyal,Bratislava,desktop,29,0,1,3,13,315.0,2.0,482.17,Occasional Repeat,0.7161030184055003,26-35,Medium,True
C00039,28,New,Bratislava,mobile,36,0,0,0,6,,,,Prospect (no purchase),0.9309550229694864,26-35,High,False
C00040,46,New,Central Slovakia,mobile,47,1,1,1,6,,,,Prospect (no purchase),,46-55,,False
C00041,47,At-Risk,Central Slovakia,mobile,55,0,1,2,2,,,,Prospect (no purchase),0.9315286314379014,46-55,High,False
C00042,45,Loyal,Eastern Slovakia,mobile,40,0,1,8,3,161.0,1.0,219.07,One-off Lapsed,0.5058139027981078,36-45,Low,True
C00043,30,Regular,Czech Republic,desktop,12,1,0,2,2,403.0,1.0,146.2,One-off Lapsed,0.8837738407904662,26-35,High,True
C00044,41,Regular,Bratislava,desktop,63,1,0,2,4,,,,Prospect (no purchase),0.7293604756697953,36-45,Medium,False
C00045,39,New,Bratislava,mobile,21,0,0,0,3,,,,Prospect (no purchase),,36-45,,False
C00046,41,New,Western Slovakia,mobile,2,0,1,0,1,211.0,1.0,122.01,One-off Lapsed,0.8972540322889303,36-45,High,True
C00047,48,Loyal,Western Slovakia,mobile,3,0,0,4,17,637.0,1.0,242.98,One-off Lapsed,0.6175954605238527,46-55,Medium,True
C00048,41,New,Western Slovakia,mobile,55,1,0,0,5,608.0,1.0,165.45,One-off Lapsed,0.9199274073366884,36-45,High,True
C00049,46,New,Eastern Slovakia,desktop,28,0,1,7,12,616.0,1.0,191.15,One-off Lapsed,0.8024470011132546,46-55,High,True
C00050,39,Loyal,Eastern Slovakia,mobile,2,1,0,1,2,,,,Prospect (no purchase),0.8020401499033247,36-45,High,False
C00051,41,At-Risk,Bratislava,mobile,58,0,1,0,1,,,,Prospect (no purchase),0.962551885155002,36-45,High,False
C00052,46,Loyal,Western Slovakia,desktop,22,0,1,0,3,643.0,1.0,258.98,One-off Lapsed,0.7363945258819251,46-55,Medium,True
C00053,21,Regular,Central Slovakia,tablet,70,0,1,0,3,,,,Prospect (no purchase),,18-25,,False
C00054,34,Regular,Western Slovakia,mobile,63,1,0,0,5,44.0,1.0,366.86,One-off Lapsed,0.8621182389204366,26-35,High,True
C00055,32,Regular,Bratislava,mobile,4,0,0,1,7,,,,Prospect (no purchase),0.9059291334611208,26-35,High,False
C00056,30,Regular,Western Slovakia,mobile,50,0,1,1,6,,,,Prospect (no purchase),,26-35,,False
C00057,35,Regular,Western Slovakia,mobile,43,0,0,0,2,,,,Prospect (no purchase),0.8907535156503689,26-35,High,False
C00058,56,Regular,Bratislava,mobile,13,0,0,2,1,,,,Prospect (no purchase),,56+,,False
C00059,28,Regular,Eastern Slovakia,desktop,25,0,0,0,1,,,,Prospect (no purchase),,26-35,,False
C00060,50,At-Risk,Western Slovakia,mobile,35,0,1,0,8,,,,Prospect (no purchase),0.9380669421552266,46-55,High,False
C00061,18,At-Risk,Central Slovakia,mobile,11,0,1,2,1,,,,Prospect (no purchase),0.9534379952692016,18-25,High,False
C00062,34,New,Western Slovakia,desktop,52,0,1,5,6,,,,Prospect (no purchase),0.8233560699708934,26-35,High,False
C00063,40,Regular,Eastern Slovakia,mobile,20,0,0,0,3,,,,Prospect (no purchase),0.9088321206799332,36-45,High,False
C00064,45,New,Bratislava,desktop,67,0,0,3,13,,,,Prospect (no purchase),0.8401031072374378,36-45,High,False
C00065,47,Regular,Bratislava,desktop,57,0,1,4,7,555.0,2.0,587.36,Occasional Repeat,0.8089696039226204,46-55,High,True
C00066,48,New,Western Slovakia,desktop,46,1,0,0,1,,,,Prospect (no purchase),0.8956058994910328,46-55,High,False
C00067,34,New,Western Slovakia,desktop,9,1,1,1,2,,,,Prospect (no purchase),0.8585349218748081,26-35,High,False
C00068,32,Loyal,Bratislava,desktop,2,1,1,2,1,,,,Prospect (no purchase),,26-35,,False
C00069,48,Regular,Eastern Slovakia,desktop,11,0,1,0,3,,,,Prospect (no purchase),0.8538333228148206,46-55,High,False
C00070,36,At-Risk,Bratislava,mobile,36,0,1,3,5,,,,Prospect (no purchase),0.9276827611753972,36-45,High,False
C00071,23,New,Bratislava,mobile,56,0,1,0,1,,,,Prospect (no purchase),,18-25,,False
C00072,24,New,Western Slovakia,mobile,11,0,1,0,5,,,,Prospect (no purchase),,18-25,,False
C00073,27,Regular,Eastern Slovakia,mobile,51,0,1,0,5,,,,Prospect (no purchase),0.9042476309013568,26-35,High,False
C00074,44,New,Eastern Slovakia,mobile,4,0,1,2,2,,,,Prospect (no purchase),0.9095504900535208,36-45,High,False
C00075,40,New,Eastern Slovakia,mobile,19,0,1,1,7,,,,Prospect (no purchase),0.859256476330368,36-45,High,False
C00076,46,At-Risk,Central Slovakia,mobile,43,0,1,0,4,,,,Prospect (no purchase),0.9432124879167244,46-55,High,False
C00077,33,New,Eastern Slovakia,mobile,59,1,1,1,7,458.0,2.0,290.46000000000004,Occasional Repeat,,26-35,,True
C00078,40,New,Central Slovakia,mobile,56,0,1,0,3,,,,Prospect (no purchase),,36-45,,False
C00079,46,Regular,Bratislava,desktop,38,0,0,4,4,222.0,2.0,368.83,Occasional Repeat,0.8685987013689412,46-55,High,True
C00080,34,Regular,Central Slovakia,mobile,3,0,1,1,0,,,,Prospect (no purchase),,26-35,,False
C00081,43,Regular,Eastern Slovakia,desktop,21,1,1,0,6,629.0,2.0,297.12,Occasional Repeat,0.7656436979430317,36-45,Medium,True
C00082,30,Regular,Western Slovakia,mobile,56,0,1,0,5,,,,Prospect (no purchase),,26-35,,False
C00083,34,Loyal,Central Slovakia,desktop,6,0,1,1,2,,,,Prospect (no purchase),0.7099534780635129,26-35,Medium,False
C00084,33,New,Western Slovakia,desktop,51,0,0,0,1,,,,Prospect (no purchase),0.8898823083408941,26-35,High,False
C00085,24,Regular,Western Slovakia,mobile,50,0,0,1,2,,,,Prospect (no purchase),,18-25,,False
C00086,44,Loyal,Bratislava,tablet,54,1,0,0,13,233.0,4.0,1649.01,Champions,0.7594472114927198,36-45,Medium,True
C00087,32,Loyal,Central Slovakia,mobile,16,0,1,1,4,,,,Prospect (no purchase),,26-35,,False
C00088,38,Regular,Eastern Slovakia,desktop,18,0,1,0,1,,,,Prospect (no purchase),,36-45,,False
C00089,44,Regular,Bratislava,desktop,15,0,0,3,6,48.0,1.0,166.25,One-off Lapsed,0.8840690307274347,36-45,High,True
C00090,43,New,Western Slovakia,mobile,28,0,1,0,5,,,,Prospect (no purchase),0.8716872083043669,36-45,High,False
C00091,46,New,Bratislava,desktop,38,1,0,2,4,,,,Prospect (no purchase),0.8203764670017566,46-55,High,False
C00092,37,New,Bratislava,mobile,9,0,0,0,1,,,,Prospect (no purchase),,36-45,,False
C00093,33,Loyal,Czech Republic,mobile,41,0,1,4,10,383.0,2.0,628.03,Occasional Repeat,0.7921237192347341,26-35,Medium,True
C00094,37,New,Western Slovakia,mobile,17,1,0,1,3,,,,Prospect (no purchase),,36-45,,False
C00095,18,Loyal,Western Slovakia,mobile,40,0,1,2,12,302.0,1.0,404.79,One-off Lapsed,0.6948244686871866,18-25,Medium,True
C00096,21,New,Bratislava,mobile,22,0,1,0,4,,,,Prospect (no purchase),,18-25,,False
C00097,22,Loyal,Czech Republic,desktop,68,0,0,3,6,91.0,1.0,311.61,One-off Lapsed,0.6169956706528685,18-25,Medium,True
C00098,26,Loyal,Bratislava,mobile,23,1,1,8,2,206.0,1.0,256.85,One-off Lapsed,0.4082141051951846,26-35,Low,True
C00099,43,New,Eastern Slovakia,mobile,62,0,1,0,4,,,,Prospect (no purchase),0.9220432886749068,36-45,High,False
C00100,27,New,Bratislava,desktop,13,0,0,0,2,,,,Prospect (no purchase),,26-35,,False
C00101,33,New,Bratislava,mobile,7,0,1,0,4,,,,Prospect (no purchase),0.9101622310557392,26-35,High,False
C00102,54,Loyal,Central Slovakia,mobile,14,0,1,2,7,633.0,1.0,203.46,One-off Lapsed,,46-55,,True
C00103,34,New,Bratislava,desktop,30,0,1,1,13,102.0,1.0,195.64,One-off Lapsed,0.8897442814728276,26-35,High,True
C00104,47,Regular,Central Slovakia,desktop,65,0,0,0,2,,,,Prospect (no purchase),0.914123959164156,46-55,High,False
C00105,27,Regular,Bratislava,mobile,13,0,1,1,3,,,,Prospect (no purchase),0.8929418168556593,26-35,High,False
C00106,36,Loyal,Eastern Slovakia,mobile,56,1,0,4,20,45.0,4.0,1211.99,Champions,0.6506081480331246,36-45,Medium,True
C00107,27,Regular,Eastern Slovakia,desktop,50,0,1,1,1,,,,Prospect (no purchase),,26-35,,False
C00108,34,Regular,Eastern Slovakia,desktop,25,0,0,1,8,,,,Prospect (no purchase),,26-35,,False
C00109,48,At-Risk,Bratislava,mobile,24,0,1,2,6,,,,Prospect (no purchase),0.9500258234054632,46-55,High,False
C00110,18,New,Central Slovakia,mobile,68,0,1,1,3,,,,Prospect (no purchase),0.9007673201005304,18-25,High,False
C00111,43,Loyal,Czech Republic,mobile,51,0,0,3,20,,,,Prospect (no purchase),0.6975910238764568,36-45,Medium,False
C00112,41,New,Bratislava,desktop,17,0,0,0,4,619.0,1.0,201.13,One-off Lapsed,0.9311055659719308,36-45,High,True
C00113,31,Regular,Bratislava,desktop,65,0,1,3,1,,,,Prospect (no purchase),,26-35,,False
C00114,21,At-Risk,Eastern Slovakia,desktop,29,1,1,0,10,,,,Prospect (no purchase),,18-25,,False
C00115,39,Regular,Bratislava,mobile,6,1,0,2,4,584.0,1.0,170.41,One-off Lapsed,0.8552859401622377,36-45,High,True
C00116,32,Loyal,Central Slovakia,desktop,58,0,1,5,7,,,,Prospect (no purchase),0.4900243827054736,26-35,Low,False
C00117,41,New,Eastern Slovakia,desktop,62,0,1,3,6,,,,Prospect (no purchase),0.7805348642554452,36-45,Medium,False
C00118,38,Regular,Bratislava,mobile,32,1,0,0,4,,,,Prospect (no purchase),0.8891707193306477,36-45,High,False
C00119,57,Regular,Central Slovakia,desktop,50,0,0,1,11,,,,Prospect (no purchase),0.8851565780070242,56+,High,False
C00120,35,Regular,Central Slovakia,mobile,17,0,0,3,5,,,,Prospect (no purchase),,26-35,,False
C00121,26,Regular,Western Slovakia,mobile,61,1,1,5,8,34.0,2.0,210.77,Occasional Repeat,0.6416911325359742,26-35,Medium,True
C00122,40,Regular,Eastern Slovakia,desktop,27,0,0,0,1,609.0,1.0,154.8,One-off Lapsed,0.926067543990468,36-45,High,True
C00123,41,Regular,Bratislava,mobile,19,1,1,2,4,594.0,1.0,160.26,One-off Lapsed,,36-45,,True
C00124,54,New,Western Slovakia,tablet,36,0,0,4,9,,,,Prospect (no purchase),0.8004610711843289,46-55,High,False
C00125,48,Regular,Eastern Slovakia,mobile,19,0,1,0,4,,,,Prospect (no purchase),0.8577837658705888,46-55,High,False
C00126,42,New,Bratislava,mobile,45,0,0,1,3,,,,Prospect (no purchase),0.9267939439379514,36-45,High,False
C00127,56,Loyal,Eastern Slovakia,mobile,54,1,1,7,15,,,,Prospect (no purchase),0.4793529068732879,56+,Low,False
C00128,24,Regular,Bratislava,mobile,29,1,1,1,3,,,,Prospect (no purchase),0.8528352571109502,18-25,High,False
C00129,30,New,Western Slovakia,mobile,56,1,1,2,1,,,,Prospect (no purchase),0.8123020018675315,26-35,High,False
C00130,27,Loyal,Bratislava,desktop,31,0,0,4,2,457.0,1.0,343.15,One-off Lapsed,0.8066723225827686,26-35,High,True
C00131,33,Loyal,Central Slovakia,mobile,69,0,1,3,13,,,,Prospect (no purchase),0.6909080391191108,26-35,Medium,False
C00132,21,New,Eastern Slovakia,mobile,19,0,1,0,0,,,,Prospect (no purchase),,18-25,,False
C00133,46,New,Eastern Slovakia,desktop,51,0,1,3,8,52.0,1.0,119.76,One-off Lapsed,0.8283790914630946,46-55,High,True
C00134,35,New,Czech Republic,mobile,39,1,0,4,6,114.0,1.0,154.24,One-off Lapsed,0.8598790756766119,26-35,High,True
C00135,20,New,Central Slovakia,desktop,67,1,1,2,17,,,,Prospect (no purchase),0.8003396295913777,18-25,High,False
C00136,26,Loyal,Eastern Slovakia,mobile,16,1,1,2,9,232.0,2.0,395.07,Occasional Repeat,0.7813512010320882,26-35,Medium,True
C00137,42,At-Risk,Western Slovakia,mobile,14,0,1,1,3,,,,Prospect (no purchase),,36-45,,False
C00138,48,New,Czech Republic,desktop,62,1,0,3,6,311.0,1.0,233.26,One-off Lapsed,0.871796311120063,46-55,High,True
C00139,62,Loyal,Central Slovakia,desktop,64,1,1,1,9,675.0,1.0,156.46,One-off Lapsed,0.6143769677706362,56+,Medium,True
C00140,73,New,Eastern Slovakia,desktop,54,1,1,2,3,,,,Prospect (no purchase),0.7759386781473436,56+,Medium,False
C00141,43,Regular,Bratislava,mobile,34,0,1,0,6,1.0,1.0,180.17,Recent Buyers,0.8350434808323357,36-45,High,True
C00142,26,Loyal,Western Slovakia,mobile,30,0,1,3,5,,,,Prospect (no purchase),0.6117814714901205,26-35,Medium,False
C00143,18,Regular,Eastern Slovakia,desktop,48,0,0,0,6,,,,Prospect (no purchase),0.892462340596351,18-25,High,False
C00144,41,New,Bratislava,desktop,54,1,1,4,6,,,,Prospect (no purchase),0.8190459882627847,36-45,High,False
C00145,28,Regular,Bratislava,desktop,20,1,1,3,7,635.0,1.0,167.53,One-off Lapsed,,26-35,,True
C00146,33,At-Risk,Czech Republic,mobile,1,0,0,3,3,,,,Prospect (no purchase),0.9605095746945748,26-35,High,False
C00147,31,New,Western Slovakia,desktop,6,0,1,1,2,,,,Prospect (no purchase),,26-35,,False
C00148,36,New,Bratislava,mobile,25,0,0,0,0,,,,Prospect (no purchase),,36-45,,False
C00149,51,New,Western Slovakia,mobile,49,1,1,2,6,,,,Prospect (no purchase),,46-55,,False
C00150,40,Regular,Western Slovakia,mobile,32,1,0,2,7,108.0,1.0,129.62,One-off Lapsed,0.8388020062249635,36-45,High,True
C00151,36,Regular,Central Slovakia,mobile,44,0,0,0,2,,,,Prospect (no purchase),0.9155451248096532,36-45,High,False
C00152,26,Loyal,Czech Republic,desktop,34,0,0,1,6,316.0,3.0,873.1099999999999,Champions,0.7637247338329797,26-35,Medium,True
C00153,18,Loyal,Czech Republic,mobile,18,0,1,0,2,,,,Prospect (no purchase),0.812400209039817,18-25,High,False
C00154,32,At-Risk,Central Slovakia,mobile,54,1,0,0,5,,,,Prospect (no purchase),,26-35,,False
C00155,37,Loyal,Central Slovakia,desktop,52,1,0,1,10,545.0,2.0,602.31,Occasional Repeat,0.6580945709382835,36-45,Medium,True
C00156,59,New,Western Slovakia,desktop,69,0,1,0,4,,,,Prospect (no purchase),,56+,,False
C00157,40,Regular,Eastern Slovakia,mobile,59,1,1,2,4,,,,Prospect (no purchase),0.7961068169396895,36-45,Medium,False
C00158,50,New,Bratislava,tablet,27,0,1,6,2,,,,Prospect (no purchase),0.8384540728262465,46-55,High,False
C00159,32,Regular,Bratislava,mobile,51,0,0,0,4,,,,Prospect (no purchase),,26-35,,False
C00160,24,At-Risk,Czech Republic,desktop,25,1,0,1,3,536.0,2.0,537.62,Occasional Repeat,0.9396774262740386,18-25,High,True
C00161,26,Loyal,Eastern Slovakia,mobile,62,1,1,1,11,368.0,3.0,654.74,Champions,0.7181937978476022,26-35,Medium,True
C00162,29,At-Risk,Western Slovakia,mobile,44,0,0,0,1,,,,Prospect (no purchase),,26-35,,False
C00163,64,Regular,Central Slovakia,mobile,60,1,1,3,3,627.0,1.0,215.41,One-off Lapsed,0.7937456080326235,56+,Medium,True
C00164,28,Regular,Western Slovakia,mobile,20,1,1,2,2,359.0,2.0,281.39,Occasional Repeat,0.8098548902095498,26-35,High,True
C00165,48,Regular,Western Slovakia,mobile,2,0,0,5,3,634.0,1.0,178.58,One-off Lapsed,0.8813850776035177,46-55,High,True
C00166,27,New,Bratislava,mobile,11,1,1,2,27,,,,Prospect (no purchase),0.7662146847532717,26-35,Medium,False
C00167,49,New,Bratislava,desktop,38,0,0,0,1,,,,Prospect (no purchase),,46-55,,False
C00168,43,Regular,Central Slovakia,mobile,69,1,1,0,8,552.0,1.0,267.47,One-off Lapsed,0.8553667579378198,36-45,High,True
C00169,36,New,Western Slovakia,mobile,45,0,1,1,2,,,,Prospect (no purchase),,36-45,,False
C00170,38,At-Risk,Western Slovakia,tablet,58,0,0,0,3,,,,Prospect (no purchase),0.961650314061389,36-45,High,False
C00171,30,New,Bratislava,desktop,34,0,1,1,11,,,,Prospect (no purchase),,26-35,,False
C00172,43,New,Czech Republic,tablet,69,0,0,3,5,,,,Prospect (no purchase),0.8753156716942322,36-45,High,False
C00173,33,Loyal,Central Slovakia,mobile,67,0,0,1,6,265.0,1.0,225.68,One-off Lapsed,0.80926270928527,26-35,High,True
C00174,23,New,Eastern Slovakia,mobile,16,1,0,4,7,,,,Prospect (no purchase),0.8604891200000723,18-25,High,False
C00175,23,At-Risk,Bratislava,mobile,62,0,0,0,3,,,,Prospect (no purchase),0.9693934192069448,18-25,High,False
C00176,40,Loyal,Central Slovakia,mobile,2,0,1,1,0,,,,Prospect (no purchase),0.8155782664822576,36-45,High,False
C00177,57,New,Eastern Slovakia,mobile,43,0,0,0,5,,,,Prospect (no purchase),0.9364012952450969,56+,High,False
C00178,40,Loyal,Western Slovakia,desktop,32,1,0,1,15,,,,Prospect (no purchase),0.5237714801242879,36-45,Low,False
C00179,37,Regular,Bratislava,desktop,22,0,1,0,3,,,,Prospect (no purchase),,36-45,,False
C00180,41,Loyal,Bratislava,desktop,67,0,0,3,4,510.0,1.0,316.11,One-off Lapsed,,36-45,,True
C00181,54,Loyal,Bratislava,mobile,48,0,1,4,6,,,,Prospect (no purchase),0.702644488694544,46-55,Medium,False
C00182,41,Loyal,Western Slovakia,desktop,10,1,0,2,2,280.0,1.0,230.23,One-off Lapsed,0.6316976632988086,36-45,Medium,True
C00183,33,Regular,Western Slovakia,mobile,10,0,1,1,1,,,,Prospect (no purchase),0.8761868402678015,26-35,High,False
C00184,51,Regular,Bratislava,tablet,9,0,0,0,5,284.0,1.0,229.59,One-off Lapsed,0.9132162206227492,46-55,High,True
C00185,43,Loyal,Central Slovakia,mobile,22,0,1,2,0,45.0,1.0,147.52,One-off Lapsed,0.7485914772279462,36-45,Medium,True
C00186,56,At-Risk,Bratislava,mobile,5,0,1,0,3,,,,Prospect (no purchase),0.9554701401630656,56+,High,False
C00187,40,Regular,Western Slovakia,mobile,19,0,0,1,1,,,,Prospect (no purchase),0.8991354796056366,36-45,High,False
C00188,23,Regular,Central Slovakia,desktop,55,1,1,3,5,372.0,1.0,240.98,One-off Lapsed,0.7826599275170729,18-25,Medium,True
C00189,22,Regular,Bratislava,tablet,63,1,1,2,3,555.0,1.0,252.21,One-off Lapsed,,18-25,,True
C00190,58,Loyal,Bratislava,desktop,56,1,1,4,2,,,,Prospect (no purchase),,56+,,False
C00191,59,At-Risk,Bratislava,desktop,36,0,0,0,3,,,,Prospect (no purchase),0.9583485191135384,56+,High,False
C00192,36,New,Bratislava,tablet,50,1,1,4,13,551.0,1.0,231.26,One-off Lapsed,0.8274297603353172,36-45,High,True
C00193,33,New,Western Slovakia,desktop,68,0,0,6,2,,,,Prospect (no purchase),0.7151878182056286,26-35,Medium,False
C00194,56,Regular,Bratislava,mobile,4,0,1,2,2,515.0,1.0,266.5,One-off Lapsed,,56+,,True
C00195,25,Regular,Bratislava,desktop,65,0,1,1,3,,,,Prospect (no purchase),0.8891841488910284,18-25,High,False
C00196,27,Regular,Czech Republic,mobile,52,0,0,1,1,,,,Prospect (no purchase),,26-35,,False
C00197,46,New,Czech Republic,mobile,28,0,0,0,2,,,,Prospect (no purchase),,46-55,,False
C00198,33,Regular,Bratislava,mobile,32,0,1,0,4,,,,Prospect (no purchase),0.9083996795592084,26-35,High,False
C00199,38,Regular,Western Slovakia,mobile,32,0,1,0,1,98.0,1.0,230.46,One-off Lapsed,0.8879644040012941,36-45,High,True
C00200,36,Regular,Western Slovakia,tablet,12,0,1,1,11,363.0,3.0,675.04,Champions,0.8945907614865127,36-45,High,True
C00201,42,Regular,Eastern Slovakia,tablet,17,0,0,1,2,,,,Prospect (no purchase),0.9202337502263126,36-45,High,False
C00202,55,Loyal,Eastern Slovakia,mobile,21,1,0,3,5,,,,Prospect (no purchase),0.7429122189995959,46-55,Medium,False
C00203,39,Regular,Bratislava,desktop,1,1,0,0,2,,,,Prospect (no purchase),0.8958453249210226,36-45,High,False
C00204,46,Loyal,Bratislava,mobile,36,0,0,1,8,,,,Prospect (no purchase),0.7851384235431936,46-55,Medium,False
C00205,18,Regular,Western Slovakia,mobile,34,0,0,3,5,672.0,1.0,182.32,One-off Lapsed,0.8985168829685516,18-25,High,True
C00206,37,Regular,Eastern Slovakia,mobile,24,0,1,1,2,58.0,1.0,184.78,One-off Lapsed,0.9011732310884196,36-45,High,True
C00207,28,Regular,Eastern Slovakia,mobile,13,0,1,4,1,,,,Prospect (no purchase),0.8670726292525927,26-35,High,False
C00208,23,New,Bratislava,mobile,69,0,1,0,3,,,,Prospect (no purchase),,18-25,,False
C00209,27,New,Central Slovakia,mobile,49,0,0,1,6,,,,Prospect (no purchase),,26-35,,False
C00210,34,Regular,Bratislava,mobile,34,0,1,1,4,2.0,1.0,195.57,Recent Buyers,0.8682922424397985,26-35,High,True
C00211,49,Loyal,Central Slovakia,mobile,52,0,1,4,8,608.0,1.0,300.6,One-off Lapsed,0.662225642548033,46-55,Medium,True
C00212,22,Regular,Czech Republic,desktop,27,1,0,5,1,,,,Prospect (no purchase),0.7825128802643547,18-25,Medium,False
C00213,38,New,Western Slovakia,mobile,16,1,1,4,6,,,,Prospect (no purchase),0.8289625939819009,36-45,High,False
C00214,32,Regular,Bratislava,mobile,48,0,1,0,8,,,,Prospect (no purchase),0.8909374534841759,26-35,High,False
C00215,34,New,Central Slovakia,mobile,55,0,0,1,1,,,,Prospect (no purchase),,26-35,,False
C00216,50,Loyal,Western Slovakia,mobile,47,0,0,2,6,551.0,1.0,318.14,One-off Lapsed,0.8218404280717522,46-55,High,True
C00217,44,Loyal,Eastern Slovakia,mobile,41,1,1,1,3,,,,Prospect (no purchase),0.7411724582036481,36-45,Medium,False
C00218,54,Regular,Western Slovakia,mobile,1,0,0,0,0,,,,Prospect (no purchase),,46-55,,False
C00219,36,Regular,Eastern Slovakia,desktop,46,0,0,1,2,130.0,3.0,486.06,Champions,0.8837266881460147,36-45,High,True
C00220,30,Regular,Bratislava,mobile,44,0,0,0,14,,,,Prospect (no purchase),0.8827041540301169,26-35,High,False
C00221,35,Regular,Bratislava,desktop,30,0,0,1,6,,,,Prospect (no purchase),,26-35,,False
C00222,41,Loyal,Western Slovakia,mobile,18,1,1,1,8,,,,Prospect (no purchase),,36-45,,False
C00223,40,Loyal,Bratislava,mobile,70,0,1,1,2,,,,Prospect (no purchase),0.7895078431849181,36-45,Medium,False
