interaction_id,campaign_id,customer_id,channel_id,date_key,device_type,impressions,clicks,conversions,revenue,spend,responded
INT-000060,CMP-113,C00678,3,20240214,mobile,6,0,0,0.0,5.78,0
INT-000061,CMP-113,C01587,3,20240215,tablet,12,0,0,0.0,11.56,0
INT-000062,CMP-113,C02139,3,20240215,mobile,9,1,0,0.0,8.67,0
INT-000063,CMP-113,C01804,3,20240216,tablet,14,0,0,0.0,13.49,0
INT-000064,CMP-113,C01595,3,20240216,tablet,12,0,0,0.0,11.56,0
INT-000065,CMP-113,C01530,3,20240219,mobile,12,0,0,0.0,11.56,0
INT-000066,CMP-113,C01097,3,20240220,mobile,9,0,0,0.0,8.67,0
INT-000067,CMP-113,C00492,3,20240221,desktop,10,0,0,0.0,9.63,0
INT-000068,CMP-113,C01757,3,20240222,mobile,13,0,0,0.0,12.52,0
INT-000069,CMP-113,C01792,3,20240223,mobile,10,1,0,0.0,9.63,0
INT-000070,CMP-113,C01354,3,20240223,mobile,10,1,0,0.0,9.63,0
INT-000071,CMP-113,C01591,3,20240224,mobile,9,1,0,0.0,8.67,0
INT-000072,CMP-050,C01180,3,20240115,mobile,4,0,0,0.0,3.39,0
INT-000073,CMP-050,C01196,3,20240115,tablet,6,0,0,0.0,5.09,0
INT-000074,CMP-050,C01387,3,20240115,mobile,7,2,0,0.0,5.94,0
INT-000075,CMP-050,C00408,3,20240115,mobile,14,1,0,0.0,11.88,0
INT-000076,CMP-050,C00097,3,20240115,mobile,8,1,0,0.0,6.79,0
INT-000077,CMP-050,C01446,3,20240115,desktop,1,0,0,0.0,0.85,0
INT-000078,CMP-050,C00471,3,20240115,mobile,10,1,0,0.0,8.49,0
INT-000079,CMP-050,C01660,3,20240115,tablet,5,0,0,0.0,4.24,0
INT-000080,CMP-050,C01123,3,20240115,mobile,8,0,0,0.0,6.79,0
INT-000081,CMP-050,C01012,3,20240115,tablet,10,1,0,0.0,8.49,0
INT-000082,CMP-050,C01673,3,20240115,mobile,4,0,0,0.0,3.39,0
INT-000083,CMP-050,C01274,3,20240115,desktop,7,0,0,0.0,5.94,0
INT-000084,CMP-050,C00720,3,20240115,tablet,6,1,0,0.0,5.09,0
INT-000085,CMP-050,C00341,3,20240116,mobile,7,2,1,250.46,5.94,1
INT-000086,CMP-050,C00890,3,20240116,mobile,12,2,0,0.0,10.18,0
INT-000087,CMP-050,C00252,3,20240116,mobile,8,0,0,0.0,6.79,0
INT-000088,CMP-050,C01697,3,20240116,mobile,6,0,0,0.0,5.09,0
INT-000089,CMP-050,C00041,3,20240116,mobile,8,0,0,0.0,6.79,0
INT-000090,CMP-050,C00355,3,20240116,desktop,12,0,0,0.0,10.18,0
INT-000091,CMP-050,C01641,3,20240116,desktop,8,1,0,0.0,6.79,0
INT-000092,CMP-050,C00397,3,20240117,desktop,7,0,0,0.0,5.94,0
INT-000093,CMP-050,C00297,3,20240117,desktop,5,1,0,0.0,4.24,0
INT-000094,CMP-050,C01805,3,20240117,mobile,10,1,0,0.0,8.49,0
INT-000095,CMP-050,C00166,3,20240117,mobile,8,0,0,0.0,6.79,0
INT-000096,CMP-050,C00431,3,20240117,desktop,10,0,0,0.0,8.49,0
INT-000097,CMP-050,C01408,3,20240117,mobile,6,0,0,0.0,5.09,0
INT-000098,CMP-050,C01364,3,20240117,mobile,11,1,0,0.0,9.33,0
INT-000099,CMP-050,C01334,3,20240117,tablet,13,0,0,0.0,11.03,0
INT-000100,CMP-050,C00793,3,20240117,desktop,6,1,0,0.0,5.09,0
INT-000101,CMP-050,C01947,3,20240117,desktop,7,0,0,0.0,5.94,0
INT-000102,CMP-050,C02106,3,20240118,mobile,8,0,0,0.0,6.79,0
INT-000103,CMP-050,C00394,3,20240118,mobile,6,0,0,0.0,5.09,0
INT-000104,CMP-050,C01766,3,20240118,mobile,6,1,0,0.0,5.09,0
INT-000105,CMP-050,C00211,3,20240118,mobile,7,0,0,0.0,5.94,0
INT-000106,CMP-050,C01869,3,20240118,mobile,6,0,0,0.0,5.09,0
INT-000107,CMP-050,C00851,3,20240118,desktop,8,0,0,0.0,6.79,0
INT-000108,CMP-050,C00645,3,20240118,desktop,8,0,0,0.0,6.79,0
INT-000109,CMP-050,C01630,3,20240119,mobile,7,0,0,0.0,5.94,0
INT-000110,CMP-050,C00722,3,20240119,desktop,10,1,0,0.0,8.49,0
INT-000111,CMP-050,C00346,3,20240119,desktop,13,0,0,0.0,11.03,0
INT-000112,CMP-050,C02165,3,20240119,desktop,12,0,0,0.0,10.18,0
INT-000113,CMP-050,C01851,3,20240119,mobile,8,0,0,0.0,6.79,0
INT-000114,CMP-050,C01463,3,20240119,tablet,3,0,0,0.0,2.55,0
INT-000115,CMP-050,C01712,3,20240120,desktop,8,0,0,0.0,6.79,0
INT-000116,CMP-050,C02032,3,20240120,mobile,6,0,0,0.0,5.09,0
INT-000117,CMP-050,C00889,3,20240120,mobile,10,0,0,0.0,8.49,0
INT-000118,CMP-050,C00160,3,20240120,desktop,13,0,0,0.0,11.03,0
INT-000119,CMP-050,C00368,3,20240120,mobile,10,0,0,0.0,8.49,0
INT-000120,CMP-050,C01753,3,20240120,desktop,10,1,1,194.99,8.49,1
INT-000121,CMP-050,C00455,3,20240120,mobile,3,0,0,0.0,2.55,0
INT-000122,CMP-050,C00040,3,20240120,mobile,9,0,0,0.0,7.64,0
INT-000123,CMP-050,C00674,3,20240120,mobile,12,0,0,0.0,10.18,0
INT-000124,CMP-050,C01760,3,20240120,desktop,7,0,0,0.0,5.94,0
INT-000125,CMP-050,C01332,3,20240120,desktop,5,0,0,0.0,4.24,0
INT-000126,CMP-050,C00164,3,20240121,mobile,10,2,0,0.0,8.49,0
INT-000127,CMP-050,C01258,3,20240121,desktop,7,0,0,0.0,5.94,0
INT-000128,CMP-050,C00531,3,20240121,mobile,6,0,0,0.0,5.09,0
INT-000129,CMP-050,C00136,3,20240121,mobile,8,1,0,0.0,6.79,0
INT-000130,CMP-050,C01668,3,20240121,desktop,11,1,1,176.27,9.33,1
INT-000131,CMP-050,C01371,3,20240121,mobile,5,1,0,0.0,4.24,0
INT-000132,CMP-050,C00583,3,20240121,desktop,6,0,0,0.0,5.09,0
INT-000133,CMP-050,C02021,3,20240121,mobile,11,2,0,0.0,9.33,0
INT-000134,CMP-050,C00550,3,20240121,desktop,12,0,0,0.0,10.18,0
INT-000135,CMP-050,C01931,3,20240121,desktop,9,1,0,0.0,7.64,0
INT-000136,CMP-050,C00233,3,20240122,mobile,5,0,0,0.0,4.24,0
INT-000137,CMP-050,C01425,3,20240122,mobile,8,0,0,0.0,6.79,0
INT-000138,CMP-050,C01856,3,20240122,mobile,8,1,0,0.0,6.79,0
INT-000139,CMP-050,C01212,3,20240122,mobile,9,0,0,0.0,7.64,0
INT-000140,CMP-050,C02028,3,20240122,desktop,7,0,0,0.0,5.94,0
INT-000141,CMP-050,C01540,3,20240122,desktop,10,0,0,0.0,8.49,0
INT-000142,CMP-050,C01493,3,20240122,desktop,7,1,1,215.16,5.94,1
INT-000143,CMP-050,C01553,3,20240122,desktop,5,0,0,0.0,4.24,0
INT-000144,CMP-050,C00400,3,20240123,mobile,7,0,0,0.0,5.94,0
INT-000145,CMP-050,C01132,3,20240123,mobile,12,1,0,0.0,10.18,0
INT-000146,CMP-050,C00363,3,20240123,mobile,8,0,0,0.0,6.79,0
INT-000147,CMP-050,C01587,3,20240123,tablet,10,0,0,0.0,8.49,0
INT-000148,CMP-050,C00445,3,20240124,desktop,8,0,0,0.0,6.79,0
INT-000149,CMP-050,C00326,3,20240124,mobile,7,0,0,0.0,5.94,0
INT-000150,CMP-050,C00411,3,20240124,mobile,5,0,0,0.0,4.24,0
INT-000151,CMP-050,C01749,3,20240124,tablet,7,1,0,0.0,5.94,0
INT-000152,CMP-050,C00279,3,20240124,mobile,5,0,0,0.0,4.24,0
INT-000153,CMP-050,C00729,3,20240124,mobile,4,0,0,0.0,3.39,0
INT-000154,CMP-050,C00765,3,20240124,desktop,8,1,1,155.02,6.79,1
INT-000155,CMP-050,C00456,3,20240124,mobile,10,1,0,0.0,8.49,0
INT-000156,CMP-050,C02068,3,20240124,mobile,5,1,0,0.0,4.24,0
INT-000157,CMP-050,C01676,3,20240124,desktop,8,0,0,0.0,6.79,0
INT-000158,CMP-050,C00401,3,20240125,mobile,2,1,0,0.0,1.7,0
INT-000159,CMP-050,C01943,3,20240125,desktop,6,0,0,0.0,5.09,0
INT-000160,CMP-050,C00402,3,20240126,mobile,7,0,0,0.0,5.94,0
INT-000161,CMP-050,C00732,3,20240126,mobile,9,1,0,0.0,7.64,0
INT-000162,CMP-050,C00465,3,20240126,desktop,5,1,1,178.26,4.24,1
INT-000163,CMP-050,C01190,3,20240126,tablet,4,0,0,0.0,3.39,0
INT-000164,CMP-050,C01439,3,20240126,mobile,3,0,0,0.0,2.55,0
INT-000165,CMP-050,C01004,3,20240126,mobile,10,0,0,0.0,8.49,0
INT-000166,CMP-050,C02042,3,20240126,mobile,8,0,0,0.0,6.79,0
INT-000167,CMP-050,C01186,3,20240127,mobile,3,0,0,0.0,2.55,0
INT-000168,CMP-050,C00227,3,20240127,mobile,6,1,0,0.0,5.09,0
INT-000169,CMP-050,C01684,3,20240127,desktop,8,0,0,0.0,6.79,0
INT-000170,CMP-050,C00204,3,20240127,mobile,8,0,0,0.0,6.79,0
INT-000171,CMP-050,C00634,3,20240127,mobile,7,0,0,0.0,5.94,0
INT-000172,CMP-050,C01206,3,20240127,desktop,3,0,0,0.0,2.55,0
INT-000173,CMP-044,C01752,2,20240123,mobile,3,1,0,0.0,3.07,0
INT-000174,CMP-044,C01940,2,20240124,desktop,2,0,0,0.0,2.04,0
INT-000175,CMP-044,C02132,2,20240124,mobile,14,0,0,0.0,14.31,0
INT-000176,CMP-044,C01400,2,20240127,desktop,3,2,1,280.71,3.07,1
INT-000177,CMP-044,C01074,2,20240127,mobile,4,0,0,0.0,4.09,0
INT-000178,CMP-044,C02044,2,20240127,mobile,6,1,0,0.0,6.13,0
INT-000179,CMP-044,C01096,2,20240131,mobile,4,0,0,0.0,4.09,0
INT-000180,CMP-044,C00341,2,20240131,desktop,8,1,0,0.0,8.18,0
INT-000181,CMP-044,C01535,2,20240131,mobile,4,0,0,0.0,4.09,0
INT-000182,CMP-044,C01978,2,20240201,desktop,6,0,0,0.0,6.13,0
INT-000183,CMP-044,C00414,2,20240202,mobile,4,0,0,0.0,4.09,0
INT-000184,CMP-044,C01360,2,20240202,desktop,3,0,0,0.0,3.07,0
INT-000185,CMP-044,C00623,2,20240202,mobile,9,0,0,0.0,9.2,0
INT-000186,CMP-044,C00090,2,20240203,mobile,6,1,0,0.0,6.13,0
INT-000187,CMP-044,C00913,2,20240204,mobile,4,1,0,0.0,4.09,0
INT-000188,CMP-044,C00981,2,20240204,mobile,6,2,0,0.0,6.13,0
INT-000189,CMP-044,C00036,2,20240206,mobile,5,1,0,0.0,5.11,0
INT-000190,CMP-044,C00672,2,20240206,mobile,7,1,0,0.0,7.16,0
INT-000191,CMP-044,C01269,2,20240207,tablet,5,0,0,0.0,5.11,0
INT-000192,CMP-044,C01756,2,20240207,desktop,3,0,0,0.0,3.07,0
INT-000193,CMP-044,C00884,2,20240208,desktop,3,0,0,0.0,3.07,0
INT-000194,CMP-044,C00149,2,20240208,desktop,3,0,0,0.0,3.07,0
INT-000195,CMP-044,C01680,2,20240212,mobile,3,1,0,0.0,3.07,0
INT-000196,CMP-044,C00120,2,20240213,mobile,6,0,0,0.0,6.13,0
INT-000197,CMP-044,C01833,2,20240214,desktop,5,1,1,209.33,5.11,1
INT-000198,CMP-044,C01811,2,20240215,desktop,5,0,0,0.0,5.11,0
INT-000199,CMP-044,C00379,2,20240216,desktop,4,0,0,0.0,4.09,0
INT-000200,CMP-044,C00845,2,20240217,desktop,5,0,0,0.0,5.11,0
INT-000201,CMP-044,C01478,2,20240218,desktop,5,1,0,0.0,5.11,0
INT-000202,CMP-044,C01928,2,20240220,mobile,6,1,0,0.0,6.13,0
INT-000203,CMP-044,C01732,2,20240220,desktop,3,0,0,0.0,3.07,0
INT-000204,CMP-044,C01003,2,20240221,mobile,6,0,0,0.0,6.13,0
INT-000205,CMP-044,C02135,2,20240221,desktop,7,0,0,0.0,7.16,0
INT-000206,CMP-044,C00985,2,20240223,mobile,3,0,0,0.0,3.07,0
INT-000207,CMP-044,C00366,2,20240223,tablet,6,0,0,0.0,6.13,0
INT-000208,CMP-044,C00977,2,20240224,tablet,7,0,0,0.0,7.16,0
INT-000209,CMP-044,C01222,2,20240226,mobile,5,0,0,0.0,5.11,0
INT-000210,CMP-044,C02141,2,20240227,desktop,6,0,0,0.0,6.13,0
INT-000211,CMP-044,C02106,2,20240227,mobile,3,1,0,0.0,3.07,0
INT-000212,CMP-044,C00014,2,20240228,mobile,8,0,0,0.0,8.18,0
INT-000213,CMP-044,C00699,2,20240301,mobile,7,0,0,0.0,7.16,0
INT-000214,CMP-044,C02163,2,20240301,desktop,8,2,0,0.0,8.18,0
INT-000215,CMP-044,C01034,2,20240303,desktop,5,1,0,0.0,5.11,0
INT-000216,CMP-078,C01409,2,20240125,desktop,4,0,0,0.0,3.37,0
INT-000217,CMP-078,C01142,2,20240125,mobile,1,0,0,0.0,0.84,0
INT-000218,CMP-078,C01476,2,20240127,mobile,6,0,0,0.0,5.06,0
INT-000219,CMP-078,C01902,2,20240129,desktop,2,0,0,0.0,1.69,0
INT-000220,CMP-078,C01157,2,20240131,desktop,2,0,0,0.0,1.69,0
INT-000221,CMP-078,C01569,2,20240131,mobile,2,0,0,0.0,1.69,0
INT-000222,CMP-078,C00186,2,20240201,mobile,5,0,0,0.0,4.22,0
INT-000223,CMP-078,C00397,2,20240202,mobile,1,0,0,0.0,0.84,0
INT-000224,CMP-078,C00603,2,20240203,desktop,3,0,0,0.0,2.53,0
INT-000225,CMP-078,C01479,2,20240205,desktop,6,0,0,0.0,5.06,0
INT-000226,CMP-078,C00841,2,20240205,tablet,3,1,0,0.0,2.53,0
INT-000227,CMP-078,C00514,2,20240206,desktop,1,0,0,0.0,0.84,0
INT-000228,CMP-078,C01803,2,20240208,mobile,4,0,0,0.0,3.37,0
INT-000229,CMP-078,C01373,2,20240208,tablet,4,1,0,0.0,3.37,0
INT-000230,CMP-078,C01354,2,20240208,mobile,5,1,1,137.76,4.22,1
INT-000231,CMP-078,C01013,2,20240209,desktop,4,1,0,0.0,3.37,0
INT-000232,CMP-078,C01883,2,20240209,mobile,2,0,0,0.0,1.69,0
INT-000233,CMP-078,C00525,2,20240209,mobile,1,1,1,162.93,0.84,1
INT-000234,CMP-078,C00116,2,20240211,desktop,2,0,0,0.0,1.69,0
INT-000235,CMP-078,C01184,2,20240212,desktop,5,0,0,0.0,4.22,0
INT-000236,CMP-078,C01626,2,20240212,mobile,2,1,0,0.0,1.69,0
INT-000237,CMP-078,C01238,2,20240214,desktop,3,0,0,0.0,2.53,0
INT-000238,CMP-078,C00437,2,20240215,desktop,1,0,0,0.0,0.84,0
INT-000239,CMP-078,C01423,2,20240216,mobile,3,1,0,0.0,2.53,0
INT-000240,CMP-078,C00063,2,20240219,mobile,3,0,0,0.0,2.53,0
INT-000241,CMP-078,C00388,2,20240222,desktop,4,0,0,0.0,3.37,0
INT-000242,CMP-078,C00778,2,20240222,desktop,4,0,0,0.0,3.37,0
INT-000243,CMP-002,C01431,1,20240201,mobile,4,2,1,332.16,10.58,1
INT-000244,CMP-002,C01724,1,20240201,tablet,4,1,0,0.0,10.58,0
INT-000245,CMP-002,C01329,1,20240201,desktop,1,0,0,0.0,2.65,0
INT-000246,CMP-002,C01589,1,20240201,desktop,4,0,0,0.0,10.58,0
INT-000247,CMP-002,C01899,1,20240202,desktop,3,1,0,0.0,7.94,0
INT-000248,CMP-002,C00007,1,20240202,desktop,2,1,0,0.0,5.29,0
INT-000249,CMP-002,C01409,1,20240202,desktop,7,1,1,252.46,18.52,1
INT-000250,CMP-002,C01548,1,20240203,mobile,4,1,0,0.0,10.58,0
INT-000251,CMP-002,C01092,1,20240203,mobile,5,1,0,0.0,13.23,0
INT-000252,CMP-002,C00061,1,20240204,mobile,5,0,0,0.0,13.23,0
INT-000253,CMP-002,C00589,1,20240205,mobile,4,0,0,0.0,10.58,0
INT-000254,CMP-002,C02133,1,20240206,tablet,3,0,0,0.0,7.94,0
INT-000255,CMP-002,C01061,1,20240207,desktop,4,1,0,0.0,10.58,0
INT-000256,CMP-002,C00705,1,20240207,mobile,3,1,0,0.0,7.94,0
INT-000257,CMP-002,C00278,1,20240208,desktop,3,1,0,0.0,7.94,0
INT-000258,CMP-002,C02022,1,20240208,mobile,4,0,0,0.0,10.58,0
INT-000259,CMP-002,C01747,1,20240209,mobile,5,0,0,0.0,13.23,0
INT-000260,CMP-002,C02051,1,20240210,mobile,7,1,0,0.0,18.52,0
INT-000261,CMP-002,C01764,1,20240210,mobile,3,0,0,0.0,7.94,0
INT-000262,CMP-002,C00236,1,20240210,mobile,6,1,0,0.0,15.88,0
INT-000263,CMP-002,C00071,1,20240210,mobile,4,1,0,0.0,10.58,0
INT-000264,CMP-002,C00132,1,20240210,mobile,6,0,0,0.0,15.88,0
INT-000265,CMP-002,C00077,1,20240212,desktop,4,2,1,189.56,10.58,1
INT-000266,CMP-002,C00169,1,20240212,mobile,5,0,0,0.0,13.23,0
INT-000267,CMP-002,C01809,1,20240213,tablet,3,0,0,0.0,7.94,0
INT-000268,CMP-002,C00562,1,20240213,desktop,4,1,1,311.57,10.58,1
INT-000269,CMP-002,C00610,1,20240213,mobile,5,1,0,0.0,13.23,0
INT-000270,CMP-002,C00290,1,20240213,mobile,6,0,0,0.0,15.88,0
INT-000271,CMP-002,C02030,1,20240214,mobile,4,1,1,234.0,10.58,1
INT-000272,CMP-002,C01894,1,20240215,tablet,5,0,0,0.0,13.23,0
INT-000273,CMP-002,C01466,1,20240216,mobile,4,0,0,0.0,10.58,0
INT-000274,CMP-002,C00672,1,20240216,desktop,4,1,1,183.37,10.58,1
INT-000275,CMP-002,C01641,1,20240217,desktop,3,1,0,0.0,7.94,0
INT-000276,CMP-002,C00191,1,20240218,desktop,7,0,0,0.0,18.52,0
INT-000277,CMP-002,C01860,1,20240218,mobile,2,0,0,0.0,5.29,0
INT-000278,CMP-002,C00489,1,20240219,desktop,3,1,0,0.0,7.94,0
INT-000279,CMP-002,C01367,1,20240219,desktop,4,1,0,0.0,10.58,0
INT-000280,CMP-002,C01399,1,20240220,tablet,6,2,1,109.28,15.88,1
INT-000281,CMP-002,C00202,1,20240222,mobile,4,0,0,0.0,10.58,0
INT-000282,CMP-002,C01610,1,20240222,mobile,4,0,0,0.0,10.58,0
INT-000283,CMP-002,C01188,1,20240223,desktop,3,1,0,0.0,7.94,0
INT-000284,CMP-002,C00662,1,20240223,mobile,3,1,0,0.0,7.94,0
INT-000285,CMP-002,C00776,1,20240224,mobile,5,0,0,0.0,13.23,0
INT-000286,CMP-002,C00280,1,20240224,tablet,6,1,0,0.0,15.88,0
INT-000287,CMP-002,C01294,1,20240224,mobile,5,0,0,0.0,13.23,0
INT-000288,CMP-002,C00685,1,20240225,mobile,3,0,0,0.0,7.94,0
INT-000289,CMP-002,C01141,1,20240225,desktop,3,0,0,0.0,7.94,0
INT-000290,CMP-002,C02003,1,20240225,tablet,4,0,0,0.0,10.58,0
INT-000291,CMP-002,C00690,1,20240226,desktop,3,0,0,0.0,7.94,0
INT-000292,CMP-002,C00172,1,20240227,mobile,4,0,0,0.0,10.58,0
INT-000293,CMP-002,C00205,1,20240228,mobile,6,1,1,182.32,15.88,1
INT-000294,CMP-002,C01691,1,20240228,mobile,4,0,0,0.0,10.58,0
INT-000295,CMP-002,C00682,1,20240228,desktop,6,1,0,0.0,15.88,0
INT-000296,CMP-002,C01650,1,20240229,mobile,5,2,0,0.0,13.23,0
INT-000297,CMP-002,C02191,1,20240229,mobile,2,0,0,0.0,5.29,0
INT-000298,CMP-002,C01572,1,20240229,mobile,3,1,0,0.0,7.94,0
INT-000299,CMP-002,C01152,1,20240229,desktop,3,0,0,0.0,7.94,0
INT-000300,CMP-002,C01606,1,20240301,mobile,2,0,0,0.0,5.29,0
INT-000301,CMP-002,C00972,1,20240301,desktop,5,0,0,0.0,13.23,0
INT-000302,CMP-002,C01597,1,20240301,mobile,6,0,0,0.0,15.88,0
INT-000303,CMP-002,C00029,1,20240301,desktop,8,2,1,232.94,21.17,1
INT-000304,CMP-006,C00153,5,20240208,mobile,5,0,0,0.0,6.45,0
INT-000305,CMP-006,C01992,5,20240209,tablet,9,0,0,0.0,11.61,0
INT-000306,CMP-006,C01067,5,20240211,mobile,7,0,0,0.0,9.03,0
INT-000307,CMP-006,C00135,5,20240211,mobile,7,0,0,0.0,9.03,0
INT-000308,CMP-006,C01376,5,20240212,mobile,6,0,0,0.0,7.74,0
INT-000309,CMP-006,C01629,5,20240212,tablet,5,0,0,0.0,6.45,0
INT-000310,CMP-006,C00623,5,20240212,mobile,8,0,0,0.0,10.32,0
INT-000311,CMP-006,C00754,5,20240214,mobile,14,0,0,0.0,18.06,0
INT-000312,CMP-006,C01886,5,20240214,mobile,15,0,0,0.0,19.35,0
INT-000313,CMP-006,C01465,5,20240214,mobile,9,0,0,0.0,11.61,0
INT-000314,CMP-006,C01775,5,20240214,mobile,7,0,0,0.0,9.03,0
INT-000315,CMP-006,C00064,5,20240215,desktop,10,0,0,0.0,12.9,0
INT-000316,CMP-006,C01527,5,20240215,desktop,10,0,0,0.0,12.9,0
INT-000317,CMP-006,C00788,5,20240216,mobile,11,0,0,0.0,14.19,0
INT-000318,CMP-006,C00989,5,20240216,mobile,10,0,0,0.0,12.9,0
INT-000319,CMP-006,C00922,5,20240217,mobile,11,0,0,0.0,14.19,0
INT-000320,CMP-006,C00722,5,20240217,mobile,12,0,0,0.0,15.48,0
INT-000321,CMP-006,C01961,5,20240218,mobile,12,0,1,344.69,15.48,1
INT-000322,CMP-006,C01544,5,20240219,tablet,12,0,0,0.0,15.48,0
INT-000323,CMP-006,C00970,5,20240219,desktop,11,0,0,0.0,14.19,0
INT-000324,CMP-006,C01720,5,20240219,mobile,5,0,0,0.0,6.45,0
INT-000325,CMP-006,C00477,5,20240221,desktop,7,0,1,364.46,9.03,1
INT-000326,CMP-006,C01177,5,20240222,desktop,13,0,0,0.0,16.77,0
INT-000327,CMP-006,C01531,5,20240222,mobile,5,0,0,0.0,6.45,0
INT-000328,CMP-006,C02076,5,20240222,desktop,11,0,0,0.0,14.19,0
INT-000329,CMP-006,C01024,5,20240222,mobile,10,0,1,359.64,12.9,1
INT-000330,CMP-006,C00455,5,20240224,mobile,10,0,0,0.0,12.9,0
