campaign_id,campaign_name,objective,channel,start_date,duration_days,budget,end_date
CMP-039,Brand Search Oct25,Brand,search,2025-10-07,35,610.0,2025-11-11
CMP-040,Acquisition Search May24,Acquisition,search,2024-05-14,20,610.0,2024-06-03
CMP-041,Acquisition Email May25,Acquisition,email,2025-05-07,37,150.0,2025-06-13
CMP-042,Acquisition Display Aug25,Acquisition,display,2025-08-17,26,110.0,2025-09-12
CMP-043,Retention Tv Dec25,Retention,tv,2025-12-19,41,840.0,2025-12-31
CMP-044,Acquisition Email Jan24,Acquisition,email,2024-01-23,41,230.0,2024-03-04
CMP-045,Acquisition Search Apr24,Acquisition,search,2024-04-01,43,1880.0,2024-05-14
CMP-046,Brand Social Aug25,Brand,social,2025-08-11,15,450.0,2025-08-26
CMP-047,Acquisition Social Sep24,Acquisition,social,2024-09-17,35,330.0,2024-10-22
CMP-048,Retention Social Aug24,Retention,social,2024-08-25,35,530.0,2024-09-29
CMP-049,Retention Email Dec24,Retention,email,2024-12-06,24,150.0,2024-12-30
CMP-050,Retention Social Jan24,Retention,social,2024-01-15,13,650.0,2024-01-28
CMP-051,Retention Search May24,Retention,search,2024-05-14,18,470.0,2024-06-01
CMP-052,Brand Search Nov25,Brand,search,2025-11-13,26,320.0,2025-12-09
CMP-053,Retention Tv Jul24,Retention,tv,2024-07-14,39,1070.0,2024-08-22
CMP-054,Retention Search Oct24,Retention,search,2024-10-07,41,240.0,2024-11-17
CMP-055,Acquisition Email Nov24,Acquisition,email,2024-11-22,41,30.0,2025-01-02
CMP-056,Retention Search Nov24,Retention,search,2024-11-17,42,420.0,2024-12-29
CMP-057,Acquisition Search Jul24,Acquisition,search,2024-07-06,10,300.0,2024-07-16
CMP-058,Retention Tv Nov24,Retention,tv,2024-11-10,44,830.0,2024-12-24
CMP-059,Retention Search Sep24,Retention,search,2024-09-12,28,340.0,2024-10-10
CMP-060,Cross-sell Email Aug25,Cross-sell,email,2025-08-03,10,100.0,2025-08-13
CMP-061,Retention Display Jul24,Retention,display,2024-07-23,11,260.0,2024-08-03
CMP-062,Retention Search Dec25,Retention,search,2025-12-26,16,770.0,2025-12-31
CMP-063,Acquisition Search Apr25,Acquisition,search,2025-04-23,16,1600.0,2025-05-09
CMP-064,Cross-sell Email Dec24,Cross-sell,email,2024-12-23,11,160.0,2025-01-03
CMP-065,Brand Search Feb25,Brand,search,2025-02-14,21,670.0,2025-03-07
CMP-066,Retention Search Mar24,Retention,search,2024-03-01,27,570.0,2024-03-28
CMP-067,Acquisition Social Jul25,Acquisition,social,2025-07-01,18,130.0,2025-07-19
CMP-068,Retention Search Feb25,Retention,search,2025-02-05,32,280.0,2025-03-09
CMP-069,Acquisition Social May25,Acquisition,social,2025-05-11,34,220.0,2025-06-14
CMP-070,Retention Tv Jun24,Retention,tv,2024-06-23,22,6570.0,2024-07-15
CMP-071,Acquisition Search May25,Acquisition,search,2025-05-05,10,910.0,2025-05-15
CMP-072,Retention Search May24,Retention,search,2024-05-13,18,330.0,2024-05-31
CMP-073,Brand Search Jan25,Brand,search,2025-01-05,30,710.0,2025-02-04
CMP-074,Acquisition Search Apr24,Acquisition,search,2024-04-24,21,940.0,2024-05-15
CMP-075,Retention Email Jan25,Retention,email,2025-01-03,29,70.0,2025-02-01
CMP-076,Acquisition Email Sep25,Acquisition,email,2025-09-18,39,160.0,2025-10-27
CMP-077,Acquisition Search Feb24,Acquisition,search,2024-02-15,36,520.0,2024-03-22
CMP-078,Retention Email Jan24,Retention,email,2024-01-24,30,70.0,2024-02-23
CMP-079,Cross-sell Search Sep25,Cross-sell,search,2025-09-25,10,320.0,2025-10-05
CMP-080,Brand Social Nov25,Brand,social,2025-11-27,35,320.0,2025-12-31
CMP-081,Acquisition Email Nov25,Acquisition,email,2025-11-12,19,90.0,2025-12-01
CMP-082,Acquisition Social Oct24,Acquisition,social,2024-10-19,22,300.0,2024-11-10
CMP-083,Retention Social Oct25,Retention,social,2025-10-21,33,440.0,2025-11-23
CMP-084,Retention Email Oct25,Retention,email,2025-10-23,38,240.0,2025-11-30
CMP-085,Cross-sell Social Jun25,Cross-sell,social,2025-06-12,34,200.0,2025-07-16
CMP-086,Cross-sell Search Oct24,Cross-sell,search,2024-10-06,18,140.0,2024-10-24
CMP-087,Brand Social Nov24,Brand,social,2024-11-09,24,250.0,2024-12-03
CMP-088,Acquisition Email Sep24,Acquisition,email,2024-09-08,20,610.0,2024-09-28
CMP-089,Brand Social Feb24,Brand,social,2024-02-17,24,230.0,2024-03-12
CMP-090,Brand Social Feb25,Brand,social,2025-02-03,35,280.0,2025-03-10
CMP-091,Acquisition Social Apr24,Acquisition,social,2024-04-02,43,200.0,2024-05-15
CMP-092,Acquisition Social Dec25,Acquisition,social,2025-12-15,21,290.0,2025-12-31
CMP-093,Cross-sell Search Jul24,Cross-sell,search,2024-07-26,19,240.0,2024-08-14
CMP-094,Retention Email Mar24,Retention,email,2024-03-07,40,60.0,2024-04-16
CMP-095,Acquisition Search Nov25,Acquisition,search,2025-11-25,12,250.0,2025-12-07
CMP-096,Acquisition Search Mar24,Acquisition,search,2024-03-22,21,880.0,2024-04-12
CMP-097,Retention Search Oct24,Retention,search,2024-10-19,43,540.0,2024-12-01
CMP-098,Brand Social Jul25,Brand,social,2025-07-03,40,210.0,2025-08-12
CMP-099,Cross-sell Social Mar25,Cross-sell,social,2025-03-15,37,220.0,2025-04-21
CMP-100,Brand Display Apr25,Brand,display,2025-04-09,40,330.0,2025-05-19
CMP-101,Retention Social Feb25,Retention,social,2025-02-17,16,440.0,2025-03-05
CMP-102,Cross-sell Display Jan25,Cross-sell,display,2025-01-04,9,140.0,2025-01-13
CMP-103,Acquisition Display Oct25,Acquisition,display,2025-10-25,39,370.0,2025-12-03
CMP-104,Retention Search Jun25,Retention,search,2025-06-11,25,110.0,2025-07-06
CMP-105,Brand Social Feb24,Brand,social,2024-02-24,16,620.0,2024-03-11
CMP-106,Cross-sell Email Jan25,Cross-sell,email,2025-01-06,25,70.0,2025-01-31
CMP-107,Cross-sell Search Jun24,Cross-sell,search,2024-06-25,38,120.0,2024-08-02
CMP-108,Acquisition Tv Nov24,Acquisition,tv,2024-11-15,25,240.0,2024-12-10
CMP-109,Acquisition Search Dec24,Acquisition,search,2024-12-24,30,1300.0,2025-01-23
CMP-110,Cross-sell Tv Apr24,Cross-sell,tv,2024-04-13,26,120.0,2024-05-09
CMP-111,Acquisition Display Sep24,Acquisition,display,2024-09-07,25,250.0,2024-10-02
CMP-112,Acquisition Display Feb25,Acquisition,display,2025-02-02,43,200.0,2025-03-17
CMP-113,Cross-sell Social Jan24,Cross-sell,social,2024-01-14,42,420.0,2024-02-25
CMP-114,Acquisition Social Aug25,Acquisition,social,2025-08-04,23,460.0,2025-08-27
CMP-115,Acquisition Email Aug24,Acquisition,email,2024-08-15,37,60.0,2024-09-21
CMP-116,Acquisition Email Jun25,Acquisition,email,2025-06-20,34,120.0,2025-07-24
CMP-117,Acquisition Display Jul25,Acquisition,display,2025-07-05,11,340.0,2025-07-16
CMP-118,Acquisition Email Aug24,Acquisition,email,2024-08-27,39,100.0,2024-10-05
CMP-119,Acquisition Email Aug24,Acquisition,email,2024-08-03,33,170.0,2024-09-05
CMP-120,Retention Tv May25,Retention,tv,2025-05-08,39,280.0,2025-06-16
