customer_id,customer_age,customer_segment,region,preferred_device,tenure_months,loyalty_member,email_opt_in,past_purchases_12m,app_sessions_30d
C00044,41,Regular,Bratislava,desktop,63,1,0,2,4
C00045,39,New,Bratislava,mobile,21,0,0,0,3
C00046,41,New,Western Slovakia,mobile,2,0,1,0,1
C00047,48,Loyal,Western Slovakia,mobile,3,0,0,4,17
C00048,41,New,Western Slovakia,mobile,55,1,0,0,5
C00049,46,New,Eastern Slovakia,desktop,28,0,1,7,12
C00050,39,Loyal,Eastern Slovakia,mobile,2,1,0,1,2
C00051,41,At-Risk,Bratislava,mobile,58,0,1,0,1
C00052,46,Loyal,Western Slovakia,desktop,22,0,1,0,3
C00053,21,Regular,Central Slovakia,tablet,70,0,1,0,3
C00054,34,Regular,Western Slovakia,mobile,63,1,0,0,5
C00055,32,Regular,Bratislava,mobile,4,0,0,1,7
C00056,30,Regular,Western Slovakia,mobile,50,0,1,1,6
C00057,35,Regular,Western Slovakia,mobile,43,0,0,0,2
C00058,56,Regular,Bratislava,mobile,13,0,0,2,1
C00059,28,Regular,Eastern Slovakia,desktop,25,0,0,0,1
C00060,50,At-Risk,Western Slovakia,mobile,35,0,1,0,8
C00061,18,At-Risk,Central Slovakia,mobile,11,0,1,2,1
C00062,34,New,Western Slovakia,desktop,52,0,1,5,6
C00063,40,Regular,Eastern Slovakia,mobile,20,0,0,0,3
C00064,45,New,Bratislava,desktop,67,0,0,3,13
C00065,47,Regular,Bratislava,desktop,57,0,1,4,7
C00066,48,New,Western Slovakia,desktop,46,1,0,0,1
C00067,34,New,Western Slovakia,desktop,9,1,1,1,2
C00068,32,Loyal,Bratislava,desktop,2,1,1,2,1
C00069,48,Regular,Eastern Slovakia,desktop,11,0,1,0,3
C00070,36,At-Risk,Bratislava,mobile,36,0,1,3,5
C00071,23,New,Bratislava,mobile,56,0,1,0,1
C00072,24,New,Western Slovakia,mobile,11,0,1,0,5
C00073,27,Regular,Eastern Slovakia,mobile,51,0,1,0,5
C00074,44,New,Eastern Slovakia,mobile,4,0,1,2,2
C00075,40,New,Eastern Slovakia,mobile,19,0,1,1,7
C00076,46,At-Risk,Central Slovakia,mobile,43,0,1,0,4
C00077,33,New,Eastern Slovakia,mobile,59,1,1,1,7
C00078,40,New,Central Slovakia,mobile,56,0,1,0,3
C00079,46,Regular,Bratislava,desktop,38,0,0,4,4
C00080,34,Regular,Central Slovakia,mobile,3,0,1,1,0
C00081,43,Regular,Eastern Slovakia,desktop,21,1,1,0,6
C00082,30,Regular,Western Slovakia,mobile,56,0,1,0,5
C00083,34,Loyal,Central Slovakia,desktop,6,0,1,1,2
C00084,33,New,Western Slovakia,desktop,51,0,0,0,1
C00085,24,Regular,Western Slovakia,mobile,50,0,0,1,2
C00086,44,Loyal,Bratislava,tablet,54,1,0,0,13
C00087,32,Loyal,Central Slovakia,mobile,16,0,1,1,4
C00088,38,Regular,Eastern Slovakia,desktop,18,0,1,0,1
C00089,44,Regular,Bratislava,desktop,15,0,0,3,6
C00090,43,New,Western Slovakia,mobile,28,0,1,0,5
C00091,46,New,Bratislava,desktop,38,1,0,2,4
C00092,37,New,Bratislava,mobile,9,0,0,0,1
C00093,33,Loyal,Czech Republic,mobile,41,0,1,4,10
C00094,37,New,Western Slovakia,mobile,17,1,0,1,3
C00095,18,Loyal,Western Slovakia,mobile,40,0,1,2,12
C00096,21,New,Bratislava,mobile,22,0,1,0,4
C00097,22,Loyal,Czech Republic,desktop,68,0,0,3,6
C00098,26,Loyal,Bratislava,mobile,23,1,1,8,2
C00099,43,New,Eastern Slovakia,mobile,62,0,1,0,4
C00100,27,New,Bratislava,desktop,13,0,0,0,2
C00101,33,New,Bratislava,mobile,7,0,1,0,4
C00102,54,Loyal,Central Slovakia,mobile,14,0,1,2,7
C00103,34,New,Bratislava,desktop,30,0,1,1,13
C00104,47,Regular,Central Slovakia,desktop,65,0,0,0,2
C00105,27,Regular,Bratislava,mobile,13,0,1,1,3
C00106,36,Loyal,Eastern Slovakia,mobile,56,1,0,4,20
C00107,27,Regular,Eastern Slovakia,desktop,50,0,1,1,1
C00108,34,Regular,Eastern Slovakia,desktop,25,0,0,1,8
C00109,48,At-Risk,Bratislava,mobile,24,0,1,2,6
C00110,18,New,Central Slovakia,mobile,68,0,1,1,3
C00111,43,Loyal,Czech Republic,mobile,51,0,0,3,20
C00112,41,New,Bratislava,desktop,17,0,0,0,4
C00113,31,Regular,Bratislava,desktop,65,0,1,3,1
C00114,21,At-Risk,Eastern Slovakia,desktop,29,1,1,0,10
C00115,39,Regular,Bratislava,mobile,6,1,0,2,4
C00116,32,Loyal,Central Slovakia,desktop,58,0,1,5,7
C00117,41,New,Eastern Slovakia,desktop,62,0,1,3,6
C00118,38,Regular,Bratislava,mobile,32,1,0,0,4
C00119,57,Regular,Central Slovakia,desktop,50,0,0,1,11
C00120,35,Regular,Central Slovakia,mobile,17,0,0,3,5
C00121,26,Regular,Western Slovakia,mobile,61,1,1,5,8
C00122,40,Regular,Eastern Slovakia,desktop,27,0,0,0,1
C00123,41,Regular,Bratislava,mobile,19,1,1,2,4
C00124,54,New,Western Slovakia,tablet,36,0,0,4,9
C00125,48,Regular,Eastern Slovakia,mobile,19,0,1,0,4
C00126,42,New,Bratislava,mobile,45,0,0,1,3
C00127,56,Loyal,Eastern Slovakia,mobile,54,1,1,7,15
C00128,24,Regular,Bratislava,mobile,29,1,1,1,3
C00129,30,New,Western Slovakia,mobile,56,1,1,2,1
C00130,27,Loyal,Bratislava,desktop,31,0,0,4,2
C00131,33,Loyal,Central Slovakia,mobile,69,0,1,3,13
C00132,21,New,Eastern Slovakia,mobile,19,0,1,0,0
C00133,46,New,Eastern Slovakia,desktop,51,0,1,3,8
C00134,35,New,Czech Republic,mobile,39,1,0,4,6
C00135,20,New,Central Slovakia,desktop,67,1,1,2,17
C00136,26,Loyal,Eastern Slovakia,mobile,16,1,1,2,9
C00137,42,At-Risk,Western Slovakia,mobile,14,0,1,1,3
C00138,48,New,Czech Republic,desktop,62,1,0,3,6
C00139,62,Loyal,Central Slovakia,desktop,64,1,1,1,9
C00140,73,New,Eastern Slovakia,desktop,54,1,1,2,3
C00141,43,Regular,Bratislava,mobile,34,0,1,0,6
C00142,26,Loyal,Western Slovakia,mobile,30,0,1,3,5
C00143,18,Regular,Eastern Slovakia,desktop,48,0,0,0,6
C00144,41,New,Bratislava,desktop,54,1,1,4,6
C00145,28,Regular,Bratislava,desktop,20,1,1,3,7
C00146,33,At-Risk,Czech Republic,mobile,1,0,0,3,3
C00147,31,New,Western Slovakia,desktop,6,0,1,1,2
C00148,36,New,Bratislava,mobile,25,0,0,0,0
C00149,51,New,Western Slovakia,mobile,49,1,1,2,6
C00150,40,Regular,Western Slovakia,mobile,32,1,0,2,7
C00151,36,Regular,Central Slovakia,mobile,44,0,0,0,2
C00152,26,Loyal,Czech Republic,desktop,34,0,0,1,6
C00153,18,Loyal,Czech Republic,mobile,18,0,1,0,2
C00154,32,At-Risk,Central Slovakia,mobile,54,1,0,0,5
C00155,37,Loyal,Central Slovakia,desktop,52,1,0,1,10
C00156,59,New,Western Slovakia,desktop,69,0,1,0,4
C00157,40,Regular,Eastern Slovakia,mobile,59,1,1,2,4
C00158,50,New,Bratislava,tablet,27,0,1,6,2
C00159,32,Regular,Bratislava,mobile,51,0,0,0,4
C00160,24,At-Risk,Czech Republic,desktop,25,1,0,1,3
C00161,26,Loyal,Eastern Slovakia,mobile,62,1,1,1,11
C00162,29,At-Risk,Western Slovakia,mobile,44,0,0,0,1
C00163,64,Regular,Central Slovakia,mobile,60,1,1,3,3
C00164,28,Regular,Western Slovakia,mobile,20,1,1,2,2
C00165,48,Regular,Western Slovakia,mobile,2,0,0,5,3
C00166,27,New,Bratislava,mobile,11,1,1,2,27
C00167,49,New,Bratislava,desktop,38,0,0,0,1
C00168,43,Regular,Central Slovakia,mobile,69,1,1,0,8
C00169,36,New,Western Slovakia,mobile,45,0,1,1,2
C00170,38,At-Risk,Western Slovakia,tablet,58,0,0,0,3
C00171,30,New,Bratislava,desktop,34,0,1,1,11
C00172,43,New,Czech Republic,tablet,69,0,0,3,5
C00173,33,Loyal,Central Slovakia,mobile,67,0,0,1,6
C00174,23,New,Eastern Slovakia,mobile,16,1,0,4,7
C00175,23,At-Risk,Bratislava,mobile,62,0,0,0,3
C00176,40,Loyal,Central Slovakia,mobile,2,0,1,1,0
C00177,57,New,Eastern Slovakia,mobile,43,0,0,0,5
C00178,40,Loyal,Western Slovakia,desktop,32,1,0,1,15
C00179,37,Regular,Bratislava,desktop,22,0,1,0,3
C00180,41,Loyal,Bratislava,desktop,67,0,0,3,4
C00181,54,Loyal,Bratislava,mobile,48,0,1,4,6
C00182,41,Loyal,Western Slovakia,desktop,10,1,0,2,2
C00183,33,Regular,Western Slovakia,mobile,10,0,1,1,1
C00184,51,Regular,Bratislava,tablet,9,0,0,0,5
C00185,43,Loyal,Central Slovakia,mobile,22,0,1,2,0
C00186,56,At-Risk,Bratislava,mobile,5,0,1,0,3
C00187,40,Regular,Western Slovakia,mobile,19,0,0,1,1
C00188,23,Regular,Central Slovakia,desktop,55,1,1,3,5
C00189,22,Regular,Bratislava,tablet,63,1,1,2,3
C00190,58,Loyal,Bratislava,desktop,56,1,1,4,2
C00191,59,At-Risk,Bratislava,desktop,36,0,0,0,3
C00192,36,New,Bratislava,tablet,50,1,1,4,13
C00193,33,New,Western Slovakia,desktop,68,0,0,6,2
C00194,56,Regular,Bratislava,mobile,4,0,1,2,2
C00195,25,Regular,Bratislava,desktop,65,0,1,1,3
C00196,27,Regular,Czech Republic,mobile,52,0,0,1,1
C00197,46,New,Czech Republic,mobile,28,0,0,0,2
C00198,33,Regular,Bratislava,mobile,32,0,1,0,4
C00199,38,Regular,Western Slovakia,mobile,32,0,1,0,1
C00200,36,Regular,Western Slovakia,tablet,12,0,1,1,11
C00201,42,Regular,Eastern Slovakia,tablet,17,0,0,1,2
C00202,55,Loyal,Eastern Slovakia,mobile,21,1,0,3,5
C00203,39,Regular,Bratislava,desktop,1,1,0,0,2
C00204,46,Loyal,Bratislava,mobile,36,0,0,1,8
C00205,18,Regular,Western Slovakia,mobile,34,0,0,3,5
C00206,37,Regular,Eastern Slovakia,mobile,24,0,1,1,2
C00207,28,Regular,Eastern Slovakia,mobile,13,0,1,4,1
C00208,23,New,Bratislava,mobile,69,0,1,0,3
C00209,27,New,Central Slovakia,mobile,49,0,0,1,6
C00210,34,Regular,Bratislava,mobile,34,0,1,1,4
C00211,49,Loyal,Central Slovakia,mobile,52,0,1,4,8
C00212,22,Regular,Czech Republic,desktop,27,1,0,5,1
C00213,38,New,Western Slovakia,mobile,16,1,1,4,6
C00214,32,Regular,Bratislava,mobile,48,0,1,0,8
C00215,34,New,Central Slovakia,mobile,55,0,0,1,1
C00216,50,Loyal,Western Slovakia,mobile,47,0,0,2,6
C00217,44,Loyal,Eastern Slovakia,mobile,41,1,1,1,3
C00218,54,Regular,Western Slovakia,mobile,1,0,0,0,0
C00219,36,Regular,Eastern Slovakia,desktop,46,0,0,1,2
C00220,30,Regular,Bratislava,mobile,44,0,0,0,14
C00221,35,Regular,Bratislava,desktop,30,0,0,1,6
C00222,41,Loyal,Western Slovakia,mobile,18,1,1,1,8
C00223,40,Loyal,Bratislava,mobile,70,0,1,1,2
C00224,25,Regular,Bratislava,mobile,27,0,1,4,12
C00225,39,Regular,Central Slovakia,mobile,20,0,1,3,17
C00226,41,New,Bratislava,mobile,51,0,0,7,18
C00227,68,New,Bratislava,mobile,35,0,0,5,12
C00228,61,New,Bratislava,mobile,40,0,0,1,2
C00229,28,Regular,Bratislava,desktop,47,0,1,0,1
C00230,35,At-Risk,Eastern Slovakia,mobile,27,0,1,0,0
C00231,20,Regular,Czech Republic,mobile,11,0,0,2,2
C00232,31,New,Bratislava,desktop,12,0,1,2,4
C00233,42,New,Eastern Slovakia,mobile,67,0,1,7,3
C00234,52,Regular,Eastern Slovakia,desktop,36,0,1,1,6
C00235,29,Loyal,Czech Republic,tablet,30,0,1,3,14
C00236,30,Regular,Western Slovakia,tablet,23,1,1,2,8
C00237,18,Loyal,Bratislava,mobile,52,0,1,1,1
C00238,36,Loyal,Western Slovakia,mobile,65,1,1,7,11
C00239,25,New,Eastern Slovakia,desktop,55,0,1,0,2
C00240,32,Regular,Eastern Slovakia,desktop,38,0,0,3,7
C00241,27,At-Risk,Western Slovakia,desktop,34,0,0,0,1
C00242,37,Regular,Bratislava,mobile,62,1,1,2,5
C00243,18,New,Eastern Slovakia,mobile,61,0,0,1,1
C00244,20,At-Risk,Eastern Slovakia,mobile,28,0,1,1,7
C00245,64,At-Risk,Western Slovakia,mobile,69,0,1,0,0
C00246,23,Regular,Central Slovakia,mobile,59,1,1,4,22
C00247,25,Regular,Western Slovakia,tablet,61,0,0,1,4
C00248,60,New,Western Slovakia,mobile,5,0,0,0,1
C00249,73,Loyal,Central Slovakia,desktop,10,0,1,1,3
C00250,24,Regular,Eastern Slovakia,tablet,22,0,0,2,9
C00251,34,New,Czech Republic,mobile,55,0,0,0,0
C00252,42,Loyal,Western Slovakia,mobile,6,0,0,4,0
C00253,59,At-Risk,Western Slovakia,desktop,6,0,1,1,6
C00254,26,Loyal,Western Slovakia,mobile,3,0,0,1,3
C00255,35,New,Bratislava,mobile,14,0,0,0,4
C00256,47,New,Bratislava,desktop,66,0,0,1,3
C00257,43,At-Risk,Bratislava,desktop,52,0,0,0,6
C00258,33,At-Risk,Western Slovakia,desktop,51,0,0,1,1
C00259,36,Regular,Bratislava,tablet,21,0,0,0,1
C00260,22,Regular,Western Slovakia,mobile,45,0,0,0,3
C00261,35,Regular,Eastern Slovakia,desktop,56,1,0,2,7
C00262,35,Regular,Bratislava,desktop,38,0,1,1,5
C00263,41,New,Central Slovakia,desktop,61,0,0,2,6
C00264,31,New,Czech Republic,desktop,41,1,1,1,0
C00265,44,New,Central Slovakia,desktop,24,0,1,0,8
C00266,50,Loyal,Bratislava,desktop,46,1,1,3,1
C00267,40,New,Western Slovakia,mobile,67,0,0,1,7
C00268,42,New,Central Slovakia,desktop,59,0,0,4,11
C00269,39,Regular,Western Slovakia,mobile,36,0,1,0,1
C00270,38,New,Bratislava,desktop,43,0,0,1,4
C00271,29,New,Western Slovakia,desktop,70,0,0,1,7
C00272,42,Regular,Central Slovakia,desktop,54,0,1,3,2
C00273,37,Regular,Bratislava,mobile,36,0,1,0,5
C00274,63,Regular,Central Slovakia,mobile,20,0,1,0,5
C00275,57,At-Risk,Bratislava,mobile,65,1,0,2,2
C00276,43,New,Western Slovakia,mobile,70,0,0,0,3
C00277,29,At-Risk,Eastern Slovakia,mobile,6,1,1,5,2
C00278,25,At-Risk,Bratislava,desktop,3,0,1,0,1
C00279,52,Loyal,Central Slovakia,mobile,9,0,1,3,5
C00280,41,Regular,Western Slovakia,tablet,28,0,1,1,2
C00281,44,Regular,Western Slovakia,mobile,12,0,0,1,1
C00282,18,Regular,Czech Republic,desktop,63,0,1,1,2
C00283,49,Loyal,Western Slovakia,mobile,65,0,0,2,13
C00284,43,New,Bratislava,desktop,13,0,0,1,8
C00285,25,At-Risk,Czech Republic,desktop,59,1,0,1,3
C00286,32,Regular,Eastern Slovakia,desktop,11,1,1,1,7
C00287,41,Loyal,Central Slovakia,desktop,56,1,1,5,18
C00288,39,Regular,Bratislava,mobile,26,0,0,0,1
C00289,34,New,Bratislava,mobile,3,0,0,0,0
C00290,37,Regular,Central Slovakia,mobile,31,0,1,0,3
C00291,35,Regular,Bratislava,desktop,59,0,1,1,5
C00292,40,Regular,Bratislava,mobile,67,0,0,1,5
C00293,56,Regular,Eastern Slovakia,mobile,9,0,0,0,3
C00294,18,New,Bratislava,desktop,60,0,0,0,5
C00295,35,Regular,Bratislava,mobile,21,1,0,1,22
C00296,40,Regular,Bratislava,desktop,33,0,0,0,3
C00297,42,At-Risk,Western Slovakia,desktop,8,0,0,4,3
C00298,34,New,Central Slovakia,desktop,70,0,1,4,12
C00299,18,Regular,Eastern Slovakia,desktop,57,1,1,2,10
C00300,42,New,Bratislava,desktop,46,0,1,2,2
C00301,59,Regular,Bratislava,desktop,52,0,0,2,11
C00302,20,Regular,Central Slovakia,tablet,63,0,1,2,2
C00303,48,Regular,Western Slovakia,mobile,11,0,0,0,6
C00304,34,At-Risk,Western Slovakia,desktop,18,1,1,0,28
C00305,37,New,Czech Republic,desktop,3,0,1,0,1
C00306,25,Loyal,Central Slovakia,mobile,35,0,0,4,8
C00307,34,New,Western Slovakia,mobile,36,0,0,1,5
C00308,54,New,Czech Republic,mobile,3,0,0,0,3
C00309,45,Regular,Bratislava,mobile,47,1,1,1,2
C00310,59,New,Czech Republic,desktop,1,1,1,1,6
C00311,52,Regular,Western Slovakia,mobile,57,1,0,1,10
C00312,43,Regular,Western Slovakia,mobile,51,0,0,6,1
C00313,59,Loyal,Czech Republic,mobile,58,1,1,0,2
C00314,43,Regular,Western Slovakia,mobile,9,0,0,1,1
C00315,48,Regular,Western Slovakia,mobile,62,1,1,3,12
C00316,34,Regular,Bratislava,mobile,39,1,0,2,4
C00317,39,New,Central Slovakia,mobile,62,0,1,0,1
C00318,30,New,Central Slovakia,mobile,50,0,0,2,13
C00319,50,Regular,Bratislava,desktop,47,0,1,3,8
C00320,24,At-Risk,Central Slovakia,mobile,3,0,0,0,1
C00321,47,New,Central Slovakia,desktop,50,0,0,0,9
C00322,36,Regular,Western Slovakia,mobile,32,0,1,4,9
C00323,52,Loyal,Bratislava,mobile,61,1,1,3,7
C00324,47,Loyal,Western Slovakia,tablet,49,1,1,2,5
C00325,60,Regular,Bratislava,mobile,6,0,0,1,7
C00326,47,Regular,Bratislava,mobile,64,0,0,1,19
C00327,19,Loyal,Western Slovakia,desktop,5,1,1,7,12
C00328,37,Loyal,Bratislava,mobile,22,1,1,1,1
C00329,24,New,Bratislava,desktop,16,0,0,0,9
C00330,32,At-Risk,Central Slovakia,desktop,70,1,1,6,11
C00331,56,New,Western Slovakia,tablet,11,0,0,0,1
C00332,46,Loyal,Czech Republic,tablet,60,0,0,2,13
C00333,30,New,Czech Republic,mobile,16,1,0,0,8
C00334,26,New,Central Slovakia,desktop,47,0,1,0,2
C00335,38,New,Czech Republic,mobile,7,1,1,4,1
C00336,23,Regular,Eastern Slovakia,desktop,28,1,0,3,6
C00337,30,Regular,Western Slovakia,desktop,45,0,1,2,2
C00338,42,New,Eastern Slovakia,mobile,51,0,0,1,3
C00339,52,Regular,Bratislava,mobile,62,0,0,0,2
C00340,45,Regular,Central Slovakia,mobile,58,0,1,3,5
C00341,18,Loyal,Western Slovakia,mobile,37,0,1,7,7
C00342,42,At-Risk,Bratislava,mobile,22,0,0,1,8
C00343,39,Regular,Bratislava,desktop,19,0,0,3,7
C00344,43,New,Czech Republic,mobile,71,0,1,1,4
C00345,57,New,Western Slovakia,desktop,44,0,1,0,2
C00346,18,At-Risk,Bratislava,desktop,65,0,1,0,2
C00347,31,New,Bratislava,desktop,31,1,0,2,4
C00348,45,Regular,Western Slovakia,mobile,35,0,0,4,8
C00349,19,At-Risk,Eastern Slovakia,desktop,59,0,0,0,4
C00350,56,At-Risk,Eastern Slovakia,desktop,52,0,0,0,1
C00351,42,Regular,Western Slovakia,desktop,15,0,1,1,8
C00352,48,Regular,Bratislava,desktop,38,0,0,4,5
C00353,31,Regular,Bratislava,desktop,16,0,1,2,2
C00354,48,Loyal,Western Slovakia,mobile,55,0,0,1,1
C00355,51,New,Eastern Slovakia,desktop,3,0,0,0,2
C00356,41,New,Eastern Slovakia,mobile,59,0,0,0,1
C00357,41,Regular,Western Slovakia,desktop,66,1,0,0,1
C00358,41,New,Central Slovakia,mobile,2,0,1,2,2
C00359,28,Regular,Western Slovakia,mobile,45,1,0,4,7
C00360,36,Regular,Central Slovakia,mobile,6,0,0,1,3
C00361,36,At-Risk,Western Slovakia,mobile,26,0,0,0,1
C00362,43,Loyal,Central Slovakia,tablet,24,0,1,2,8
C00363,50,Regular,Western Slovakia,mobile,37,0,0,2,0
C00364,25,Loyal,Czech Republic,desktop,66,0,1,6,5
C00365,36,New,Western Slovakia,mobile,33,1,0,2,2
C00366,56,Regular,Bratislava,tablet,29,0,1,2,2
C00367,29,New,Bratislava,mobile,7,1,0,1,2
C00368,28,Loyal,Western Slovakia,mobile,64,1,1,5,11
C00369,40,Loyal,Central Slovakia,mobile,23,0,0,3,0
C00370,48,At-Risk,Central Slovakia,mobile,33,0,0,0,5
C00371,38,Loyal,Central Slovakia,tablet,7,0,1,3,3
C00372,54,At-Risk,Bratislava,tablet,21,0,0,1,2
C00373,48,New,Central Slovakia,mobile,40,0,1,1,3
C00374,48,At-Risk,Central Slovakia,mobile,64,0,0,1,2
C00375,45,Regular,Western Slovakia,mobile,24,0,1,0,4
C00376,66,Regular,Western Slovakia,mobile,40,0,1,2,1
C00377,36,Regular,Bratislava,desktop,63,0,1,0,1
C00378,18,Regular,Western Slovakia,mobile,26,0,1,0,1
C00379,57,New,Eastern Slovakia,desktop,21,0,1,1,7
C00380,33,New,Czech Republic,desktop,4,0,0,2,3
C00381,39,New,Central Slovakia,mobile,65,0,1,0,2
C00382,54,Regular,Bratislava,mobile,8,0,1,1,3
C00383,19,At-Risk,Central Slovakia,mobile,16,0,1,0,1
C00384,23,Regular,Eastern Slovakia,mobile,10,0,1,0,1
C00385,19,Regular,Western Slovakia,mobile,51,0,1,2,2
C00386,28,Regular,Eastern Slovakia,desktop,26,0,0,0,8
C00387,43,Regular,Bratislava,mobile,51,1,0,1,5
C00388,44,New,Bratislava,desktop,44,0,1,4,6
C00389,41,Loyal,Bratislava,desktop,2,0,0,1,2
C00390,21,New,Bratislava,tablet,22,1,1,1,7
C00391,18,Loyal,Eastern Slovakia,desktop,1,1,0,1,15
C00392,39,Loyal,Western Slovakia,mobile,5,0,0,4,9
C00393,32,Regular,Bratislava,mobile,34,1,1,3,13
C00394,44,Loyal,Western Slovakia,mobile,19,0,1,3,14
C00395,46,New,Western Slovakia,tablet,7,1,0,0,1
C00396,40,At-Risk,Western Slovakia,tablet,30,1,1,0,1
C00397,47,Loyal,Bratislava,mobile,33,1,1,7,13
C00398,41,Loyal,Central Slovakia,mobile,71,0,0,2,2
C00399,44,Regular,Bratislava,mobile,47,0,0,3,5
C00400,30,Loyal,Eastern Slovakia,mobile,28,0,1,3,8
C00401,36,At-Risk,Bratislava,tablet,34,0,0,3,1
C00402,40,Regular,Eastern Slovakia,mobile,7,1,1,2,11
C00403,48,Loyal,Eastern Slovakia,mobile,28,1,1,3,11
C00404,33,Loyal,Bratislava,mobile,42,1,0,1,4
C00405,44,Regular,Bratislava,mobile,2,0,0,0,1
C00406,35,At-Risk,Czech Republic,mobile,66,0,0,0,1
C00407,37,Regular,Western Slovakia,desktop,37,0,0,1,10
C00408,48,Regular,Central Slovakia,mobile,56,0,0,6,3
C00409,18,New,Bratislava,desktop,20,0,0,1,0
C00410,22,New,Bratislava,mobile,60,0,1,4,6
C00411,20,Loyal,Western Slovakia,mobile,27,0,1,3,1
C00412,18,Regular,Eastern Slovakia,mobile,66,0,0,0,3
C00413,30,Regular,Bratislava,mobile,38,0,1,0,2
C00414,47,New,Eastern Slovakia,mobile,46,0,0,0,4
C00415,35,Regular,Central Slovakia,mobile,15,0,1,0,1
C00416,40,Loyal,Bratislava,desktop,71,0,1,0,10
C00417,51,At-Risk,Bratislava,desktop,14,0,0,3,6
C00418,54,New,Bratislava,tablet,3,0,0,4,2
C00419,37,Regular,Western Slovakia,mobile,32,0,1,2,4
C00420,54,Regular,Central Slovakia,desktop,60,1,1,0,1
C00421,39,Regular,Western Slovakia,desktop,66,0,0,2,4
C00422,28,Regular,Bratislava,mobile,61,0,0,1,8
C00423,31,Regular,Central Slovakia,mobile,40,0,1,2,5
C00424,20,Regular,Central Slovakia,mobile,66,1,1,1,1
C00425,27,Regular,Western Slovakia,desktop,35,0,1,0,1
C00426,34,Regular,Central Slovakia,mobile,34,0,1,0,6
C00427,48,Regular,Bratislava,mobile,13,0,1,1,10
C00428,59,Loyal,Central Slovakia,tablet,56,1,0,4,7
C00429,21,Loyal,Western Slovakia,mobile,23,1,1,2,10
C00430,43,Regular,Western Slovakia,tablet,14,0,0,2,2
C00431,26,Loyal,Bratislava,desktop,27,1,1,3,8
C00432,44,Loyal,Central Slovakia,desktop,43,1,1,8,2
C00433,36,New,Central Slovakia,desktop,20,0,0,2,2
C00434,18,Regular,Western Slovakia,mobile,26,1,1,6,7
C00435,49,New,Eastern Slovakia,desktop,24,0,1,7,1
C00436,31,Loyal,Eastern Slovakia,desktop,43,1,1,5,5
C00437,32,New,Bratislava,desktop,51,1,1,4,4
C00438,25,Regular,Central Slovakia,mobile,48,0,1,3,3
C00439,30,New,Western Slovakia,mobile,11,0,0,0,4
C00440,43,Regular,Czech Republic,mobile,25,0,1,1,4
C00441,36,At-Risk,Bratislava,mobile,47,0,1,2,4
