interaction_id,campaign_id,channel,start_date,end_date,touch_date,budget,impressions,clicks,conversions,revenue,customer_id,customer_age,customer_segment,region,device_type
INT-000029,CMP-113,social,2024-01-14,2024-02-25,2024-01-18,10.6,11,1,0,0.0,C00549,46,Regular,Western Slovakia,desktop
INT-000030,CMP-113,social,2024-01-14,2024-02-25,2024-01-18,10.6,11,1,0,0.0,C00874,39,Regular,Bratislava,mobile
INT-000031,CMP-113,social,2024-01-14,2024-02-25,2024-01-19,9.63,10,0,0,0.0,C00017,42,Loyal,Bratislava,desktop
INT-000032,CMP-113,social,2024-01-14,2024-02-25,2024-01-20,7.71,8,0,0,0.0,C01733,35,Regular,Eastern Slovakia,mobile
INT-000033,CMP-113,social,2024-01-14,2024-02-25,2024-01-20,15.41,16,2,0,0.0,C00440,43,Regular,Czech Republic,mobile
INT-000034,CMP-113,social,2024-01-14,2024-02-25,2024-01-20,5.78,6,0,0,0.0,C00155,37,Loyal,Central Slovakia,desktop
INT-000035,CMP-113,social,2024-01-14,2024-02-25,2024-01-21,11.56,12,2,1,103.19,C00121,26,Regular,Western Slovakia,desktop
INT-000036,CMP-113,social,2024-01-14,2024-02-25,2024-01-23,9.63,10,2,0,0.0,C01420,38,Regular,Bratislava,tablet
INT-000037,CMP-113,social,2024-01-14,2024-02-25,2024-01-24,7.71,8,3,1,156.95,C02023,40,Loyal,Czech Republic,tablet
INT-000038,CMP-113,social,2024-01-14,2024-02-25,2024-01-24,7.71,8,0,0,0.0,C00545,35,Loyal,Central Slovakia,desktop
INT-000039,CMP-113,social,2024-01-14,2024-02-25,2024-01-25,13.49,14,1,0,0.0,C00890,18,Regular,Bratislava,mobile
INT-000040,CMP-113,social,2024-01-14,2024-02-25,2024-01-26,10.6,11,1,0,0.0,C00117,41,New,Eastern Slovakia,desktop
INT-000041,CMP-113,social,2024-01-14,2024-02-25,2024-01-28,10.6,11,0,0,0.0,C01395,18,New,Western Slovakia,tablet
INT-000042,CMP-113,social,2024-01-14,2024-02-25,2024-01-28,9.63,10,1,0,0.0,C02079,18,Loyal,Western Slovakia,mobile
INT-000043,CMP-113,social,2024-01-14,2024-02-25,2024-01-29,8.67,9,0,0,0.0,C01676,19,Regular,Western Slovakia,mobile
INT-000044,CMP-113,social,2024-01-14,2024-02-25,2024-02-01,9.63,10,0,0,0.0,C00213,38,New,Western Slovakia,mobile
INT-000045,CMP-113,social,2024-01-14,2024-02-25,2024-02-03,11.56,12,1,1,165.09,C00974,45,Loyal,Bratislava,mobile
INT-000046,CMP-113,social,2024-01-14,2024-02-25,2024-02-03,8.67,9,0,0,0.0,C01350,37,Regular,Western Slovakia,tablet
INT-000047,CMP-113,social,2024-01-14,2024-02-25,2024-02-03,8.67,9,0,0,0.0,C02183,18,Loyal,Eastern Slovakia,mobile
INT-000048,CMP-113,social,2024-01-14,2024-02-25,2024-02-04,9.63,10,0,0,0.0,C01131,27,New,Central Slovakia,desktop
INT-000049,CMP-113,social,2024-01-14,2024-02-25,2024-02-04,9.63,10,0,0,0.0,C01396,60,Loyal,Eastern Slovakia,mobile
INT-000050,CMP-113,social,2024-01-14,2024-02-25,2024-02-04,10.6,11,1,0,0.0,C00502,49,Loyal,Eastern Slovakia,desktop
INT-000051,CMP-113,social,2024-01-14,2024-02-25,2024-02-05,5.78,6,1,0,0.0,C00508,43,Loyal,Bratislava,tablet
INT-000052,CMP-113,social,2024-01-14,2024-02-25,2024-02-07,11.56,12,0,0,0.0,C02159,46,Loyal,Bratislava,desktop
INT-000053,CMP-113,social,2024-01-14,2024-02-25,2024-02-07,9.63,10,0,0,0.0,C01580,42,Regular,Bratislava,desktop
INT-000054,CMP-113,social,2024-01-14,2024-02-25,2024-02-09,12.52,13,0,0,0.0,C00083,34,Loyal,Central Slovakia,desktop
INT-000055,CMP-113,social,2024-01-14,2024-02-25,2024-02-09,11.56,12,0,0,0.0,C01886,41,New,Western Slovakia,mobile
INT-000056,CMP-113,social,2024-01-14,2024-02-25,2024-02-10,6.74,7,0,0,0.0,C01462,29,Loyal,Bratislava,mobile
INT-000057,CMP-113,social,2024-01-14,2024-02-25,2024-02-11,2.89,3,0,0,0.0,C02166,53,Loyal,Bratislava,mobile
INT-000058,CMP-113,social,2024-01-14,2024-02-25,2024-02-13,11.56,12,0,0,0.0,C01558,47,Regular,Eastern Slovakia,mobile
INT-000059,CMP-113,social,2024-01-14,2024-02-25,2024-02-14,8.67,9,0,0,0.0,C01646,39,Regular,Western Slovakia,mobile
INT-000060,CMP-113,social,2024-01-14,2024-02-25,2024-02-14,5.78,6,0,0,0.0,C00678,43,Regular,Bratislava,mobile
INT-000061,CMP-113,social,2024-01-14,2024-02-25,2024-02-15,11.56,12,0,0,0.0,C01587,18,Loyal,Czech Republic,tablet
INT-000062,CMP-113,social,2024-01-14,2024-02-25,2024-02-15,8.67,9,1,0,0.0,C02139,42,Loyal,Eastern Slovakia,mobile
INT-000063,CMP-113,social,2024-01-14,2024-02-25,2024-02-16,13.49,14,0,0,0.0,C01804,33,Regular,Western Slovakia,tablet
INT-000064,CMP-113,social,2024-01-14,2024-02-25,2024-02-16,11.56,12,0,0,0.0,C01595,43,At-Risk,Central Slovakia,tablet
INT-000065,CMP-113,social,2024-01-14,2024-02-25,2024-02-19,11.56,12,0,0,0.0,C01530,45,At-Risk,Central Slovakia,mobile
INT-000066,CMP-113,social,2024-01-14,2024-02-25,2024-02-20,8.67,9,0,0,0.0,C01097,57,Loyal,Czech Republic,mobile
INT-000067,CMP-113,social,2024-01-14,2024-02-25,2024-02-21,9.63,10,0,0,0.0,C00492,42,Loyal,Bratislava,desktop
INT-000068,CMP-113,social,2024-01-14,2024-02-25,2024-02-22,12.52,13,0,0,0.0,C01757,59,Regular,Western Slovakia,mobile
INT-000069,CMP-113,social,2024-01-14,2024-02-25,2024-02-23,9.63,10,1,0,0.0,C01792,38,Loyal,Bratislava,mobile
INT-000070,CMP-113,social,2024-01-14,2024-02-25,2024-02-23,9.63,10,1,0,0.0,C01354,42,New,Central Slovakia,mobile
INT-000071,CMP-113,social,2024-01-14,2024-02-25,2024-02-24,8.67,9,1,0,0.0,C01591,21,Loyal,Western Slovakia,mobile
INT-000072,CMP-050,social,2024-01-15,2024-01-28,2024-01-15,3.39,4,0,0,0.0,C01180,43,Loyal,Western Slovakia,mobile
INT-000073,CMP-050,social,2024-01-15,2024-01-28,2024-01-15,5.09,6,0,0,0.0,C01196,62,Regular,Bratislava,tablet
INT-000074,CMP-050,social,2024-01-15,2024-01-28,2024-01-15,5.94,7,2,0,0.0,C01387,53,Loyal,Eastern Slovakia,mobile
INT-000075,CMP-050,social,2024-01-15,2024-01-28,2024-01-15,11.88,14,1,0,0.0,C00408,48,Regular,Central Slovakia,mobile
INT-000076,CMP-050,social,2024-01-15,2024-01-28,2024-01-15,6.79,8,1,0,0.0,C00097,22,Loyal,Czech Republic,mobile
INT-000077,CMP-050,social,2024-01-15,2024-01-28,2024-01-15,0.85,1,0,0,0.0,C01446,41,Regular,Eastern Slovakia,desktop
INT-000078,CMP-050,social,2024-01-15,2024-01-28,2024-01-15,8.49,10,1,0,0.0,C00471,42,Regular,Western Slovakia,mobile
INT-000079,CMP-050,social,2024-01-15,2024-01-28,2024-01-15,4.24,5,0,0,0.0,C01660,40,Loyal,Central Slovakia,tablet
INT-000080,CMP-050,social,2024-01-15,2024-01-28,2024-01-15,6.79,8,0,0,0.0,C01123,29,Loyal,Western Slovakia,mobile
INT-000081,CMP-050,social,2024-01-15,2024-01-28,2024-01-15,8.49,10,1,0,0.0,C01012,55,Loyal,Bratislava,tablet
INT-000082,CMP-050,social,2024-01-15,2024-01-28,2024-01-15,3.39,4,0,0,0.0,C01673,40,Regular,Central Slovakia,mobile
INT-000083,CMP-050,social,2024-01-15,2024-01-28,2024-01-15,5.94,7,0,0,0.0,C01274,42,Regular,Eastern Slovakia,desktop
INT-000084,CMP-050,social,2024-01-15,2024-01-28,2024-01-15,5.09,6,1,0,0.0,C00720,26,New,Western Slovakia,tablet
INT-000085,CMP-050,social,2024-01-15,2024-01-28,2024-01-16,5.94,7,2,1,250.46,C00341,18,Loyal,Western Slovakia,mobile
INT-000086,CMP-050,social,2024-01-15,2024-01-28,2024-01-16,10.18,12,2,0,0.0,C00890,18,Regular,Bratislava,mobile
INT-000087,CMP-050,social,2024-01-15,2024-01-28,2024-01-16,6.79,8,0,0,0.0,C00252,42,Loyal,Western Slovakia,mobile
INT-000088,CMP-050,social,2024-01-15,2024-01-28,2024-01-16,5.09,6,0,0,0.0,C01697,32,New,Eastern Slovakia,mobile
INT-000089,CMP-050,social,2024-01-15,2024-01-28,2024-01-16,6.79,8,0,0,0.0,C00041,47,At-Risk,Central Slovakia,mobile
INT-000090,CMP-050,social,2024-01-15,2024-01-28,2024-01-16,10.18,12,0,0,0.0,C00355,51,New,Eastern Slovakia,desktop
INT-000091,CMP-050,social,2024-01-15,2024-01-28,2024-01-16,6.79,8,1,0,0.0,C01641,20,New,Bratislava,desktop
INT-000092,CMP-050,social,2024-01-15,2024-01-28,2024-01-17,5.94,7,0,0,0.0,C00397,47,Loyal,Bratislava,desktop
INT-000093,CMP-050,social,2024-01-15,2024-01-28,2024-01-17,4.24,5,1,0,0.0,C00297,42,At-Risk,Western Slovakia,desktop
INT-000094,CMP-050,social,2024-01-15,2024-01-28,2024-01-17,8.49,10,1,0,0.0,C01805,39,Loyal,Czech Republic,mobile
INT-000095,CMP-050,social,2024-01-15,2024-01-28,2024-01-17,6.79,8,0,0,0.0,C00166,27,New,Bratislava,mobile
INT-000096,CMP-050,social,2024-01-15,2024-01-28,2024-01-17,8.49,10,0,0,0.0,C00431,26,Loyal,Bratislava,desktop
INT-000097,CMP-050,social,2024-01-15,2024-01-28,2024-01-17,5.09,6,0,0,0.0,C01408,46,Regular,Western Slovakia,mobile
INT-000098,CMP-050,social,2024-01-15,2024-01-28,2024-01-17,9.33,11,1,0,0.0,C01364,48,At-Risk,Central Slovakia,mobile
INT-000099,CMP-050,social,2024-01-15,2024-01-28,2024-01-17,11.03,13,0,0,0.0,C01334,41,Loyal,Eastern Slovakia,tablet
INT-000100,CMP-050,social,2024-01-15,2024-01-28,2024-01-17,5.09,6,1,0,0.0,C00793,44,Loyal,Western Slovakia,desktop
INT-000101,CMP-050,social,2024-01-15,2024-01-28,2024-01-17,5.94,7,0,0,0.0,C01947,29,New,Eastern Slovakia,desktop
INT-000102,CMP-050,social,2024-01-15,2024-01-28,2024-01-18,6.79,8,0,0,0.0,C02106,32,Loyal,Western Slovakia,mobile
INT-000103,CMP-050,social,2024-01-15,2024-01-28,2024-01-18,5.09,6,0,0,0.0,C00394,44,Loyal,Western Slovakia,mobile
INT-000104,CMP-050,social,2024-01-15,2024-01-28,2024-01-18,5.09,6,1,0,0.0,C01766,36,Regular,Bratislava,mobile
INT-000105,CMP-050,social,2024-01-15,2024-01-28,2024-01-18,5.94,7,0,0,0.0,C00211,49,Loyal,Central Slovakia,mobile
INT-000106,CMP-050,social,2024-01-15,2024-01-28,2024-01-18,5.09,6,0,0,0.0,C01869,34,Regular,Western Slovakia,mobile
INT-000107,CMP-050,social,2024-01-15,2024-01-28,2024-01-18,6.79,8,0,0,0.0,C00851,34,At-Risk,Central Slovakia,desktop
INT-000108,CMP-050,social,2024-01-15,2024-01-28,2024-01-18,6.79,8,0,0,0.0,C00645,34,At-Risk,Czech Republic,desktop
INT-000109,CMP-050,social,2024-01-15,2024-01-28,2024-01-19,5.94,7,0,0,0.0,C01630,51,Regular,Eastern Slovakia,mobile
INT-000110,CMP-050,social,2024-01-15,2024-01-28,2024-01-19,8.49,10,1,0,0.0,C00722,52,Regular,Central Slovakia,desktop
INT-000111,CMP-050,social,2024-01-15,2024-01-28,2024-01-19,11.03,13,0,0,0.0,C00346,18,At-Risk,Bratislava,desktop
INT-000112,CMP-050,social,2024-01-15,2024-01-28,2024-01-19,10.18,12,0,0,0.0,C02165,45,New,Czech Republic,desktop
INT-000113,CMP-050,social,2024-01-15,2024-01-28,2024-01-19,6.79,8,0,0,0.0,C01851,30,New,Bratislava,mobile
INT-000114,CMP-050,social,2024-01-15,2024-01-28,2024-01-19,2.55,3,0,0,0.0,C01463,28,At-Risk,Central Slovakia,tablet
INT-000115,CMP-050,social,2024-01-15,2024-01-28,2024-01-20,6.79,8,0,0,0.0,C01712,18,New,Central Slovakia,desktop
INT-000116,CMP-050,social,2024-01-15,2024-01-28,2024-01-20,5.09,6,0,0,0.0,C02032,32,Regular,Western Slovakia,mobile
INT-000117,CMP-050,social,2024-01-15,2024-01-28,2024-01-20,8.49,10,0,0,0.0,C00889,18,Loyal,Eastern Slovakia,mobile
INT-000118,CMP-050,social,2024-01-15,2024-01-28,2024-01-20,11.03,13,0,0,0.0,C00160,24,At-Risk,Czech Republic,desktop
INT-000119,CMP-050,social,2024-01-15,2024-01-28,2024-01-20,8.49,10,0,0,0.0,C00368,28,Loyal,Western Slovakia,mobile
INT-000120,CMP-050,social,2024-01-15,2024-01-28,2024-01-20,8.49,10,1,1,194.99,C01753,30,Loyal,Central Slovakia,desktop
INT-000121,CMP-050,social,2024-01-15,2024-01-28,2024-01-20,2.55,3,0,0,0.0,C00455,39,Loyal,Central Slovakia,mobile
INT-000122,CMP-050,social,2024-01-15,2024-01-28,2024-01-20,7.64,9,0,0,0.0,C00040,46,New,Central Slovakia,mobile
INT-000123,CMP-050,social,2024-01-15,2024-01-28,2024-01-20,10.18,12,0,0,0.0,C00674,22,Regular,Central Slovakia,mobile
INT-000124,CMP-050,social,2024-01-15,2024-01-28,2024-01-20,5.94,7,0,0,0.0,C01760,39,Regular,Eastern Slovakia,desktop
INT-000125,CMP-050,social,2024-01-15,2024-01-28,2024-01-20,4.24,5,0,0,0.0,C01332,25,Loyal,Czech Republic,desktop
INT-000126,CMP-050,social,2024-01-15,2024-01-28,2024-01-21,8.49,10,2,0,0.0,C00164,28,Regular,Western Slovakia,mobile
INT-000127,CMP-050,social,2024-01-15,2024-01-28,2024-01-21,5.94,7,0,0,0.0,C01258,38,Loyal,Eastern Slovakia,desktop
INT-000128,CMP-050,social,2024-01-15,2024-01-28,2024-01-21,5.09,6,0,0,0.0,C00531,34,New,Czech Republic,mobile
INT-000129,CMP-050,social,2024-01-15,2024-01-28,2024-01-21,6.79,8,1,0,0.0,C00136,26,Loyal,Eastern Slovakia,mobile
INT-000130,CMP-050,social,2024-01-15,2024-01-28,2024-01-21,9.33,11,1,1,176.27,C01668,38,Regular,Bratislava,desktop
INT-000131,CMP-050,social,2024-01-15,2024-01-28,2024-01-21,4.24,5,1,0,0.0,C01371,20,Regular,Central Slovakia,mobile
INT-000132,CMP-050,social,2024-01-15,2024-01-28,2024-01-21,5.09,6,0,0,0.0,C00583,34,Regular,Bratislava,desktop
INT-000133,CMP-050,social,2024-01-15,2024-01-28,2024-01-21,9.33,11,2,0,0.0,C02021,38,At-Risk,Western Slovakia,mobile
INT-000134,CMP-050,social,2024-01-15,2024-01-28,2024-01-21,10.18,12,0,0,0.0,C00550,46,Loyal,Central Slovakia,desktop
INT-000135,CMP-050,social,2024-01-15,2024-01-28,2024-01-21,7.64,9,1,0,0.0,C01931,18,Loyal,Central Slovakia,desktop
INT-000136,CMP-050,social,2024-01-15,2024-01-28,2024-01-22,4.24,5,0,0,0.0,C00233,42,New,Eastern Slovakia,mobile
INT-000137,CMP-050,social,2024-01-15,2024-01-28,2024-01-22,6.79,8,0,0,0.0,C01425,40,Loyal,Bratislava,mobile
INT-000138,CMP-050,social,2024-01-15,2024-01-28,2024-01-22,6.79,8,1,0,0.0,C01856,30,New,Bratislava,mobile
INT-000139,CMP-050,social,2024-01-15,2024-01-28,2024-01-22,7.64,9,0,0,0.0,C01212,32,Loyal,Bratislava,mobile
INT-000140,CMP-050,social,2024-01-15,2024-01-28,2024-01-22,5.94,7,0,0,0.0,C02028,18,Loyal,Western Slovakia,desktop
INT-000141,CMP-050,social,2024-01-15,2024-01-28,2024-01-22,8.49,10,0,0,0.0,C01540,56,Loyal,Western Slovakia,desktop
INT-000142,CMP-050,social,2024-01-15,2024-01-28,2024-01-22,5.94,7,1,1,215.16,C01493,31,Loyal,Bratislava,desktop
INT-000143,CMP-050,social,2024-01-15,2024-01-28,2024-01-22,4.24,5,0,0,0.0,C01553,31,Regular,Central Slovakia,desktop
INT-000144,CMP-050,social,2024-01-15,2024-01-28,2024-01-23,5.94,7,0,0,0.0,C00400,30,Loyal,Eastern Slovakia,mobile
INT-000145,CMP-050,social,2024-01-15,2024-01-28,2024-01-23,10.18,12,1,0,0.0,C01132,35,Loyal,Western Slovakia,mobile
INT-000146,CMP-050,social,2024-01-15,2024-01-28,2024-01-23,6.79,8,0,0,0.0,C00363,50,Regular,Western Slovakia,mobile
INT-000147,CMP-050,social,2024-01-15,2024-01-28,2024-01-23,8.49,10,0,0,0.0,C01587,18,Loyal,Czech Republic,tablet
INT-000148,CMP-050,social,2024-01-15,2024-01-28,2024-01-24,6.79,8,0,0,0.0,C00445,34,Loyal,Central Slovakia,desktop
INT-000149,CMP-050,social,2024-01-15,2024-01-28,2024-01-24,5.94,7,0,0,0.0,C00326,47,Regular,Bratislava,mobile
INT-000150,CMP-050,social,2024-01-15,2024-01-28,2024-01-24,4.24,5,0,0,0.0,C00411,20,Loyal,Western Slovakia,mobile
INT-000151,CMP-050,social,2024-01-15,2024-01-28,2024-01-24,5.94,7,1,0,0.0,C01749,32,Regular,Western Slovakia,tablet
INT-000152,CMP-050,social,2024-01-15,2024-01-28,2024-01-24,4.24,5,0,0,0.0,C00279,52,Loyal,Central Slovakia,mobile
INT-000153,CMP-050,social,2024-01-15,2024-01-28,2024-01-24,3.39,4,0,0,0.0,C00729,24,Loyal,Western Slovakia,mobile
INT-000154,CMP-050,social,2024-01-15,2024-01-28,2024-01-24,6.79,8,1,1,155.02,C00765,42,New,Western Slovakia,desktop
INT-000155,CMP-050,social,2024-01-15,2024-01-28,2024-01-24,8.49,10,1,0,0.0,C00456,40,Regular,Central Slovakia,mobile
INT-000156,CMP-050,social,2024-01-15,2024-01-28,2024-01-24,4.24,5,1,0,0.0,C02068,38,Loyal,Central Slovakia,mobile
INT-000157,CMP-050,social,2024-01-15,2024-01-28,2024-01-24,6.79,8,0,0,0.0,C01676,19,Regular,Western Slovakia,desktop
INT-000158,CMP-050,social,2024-01-15,2024-01-28,2024-01-25,1.7,2,1,0,0.0,C00401,36,At-Risk,Bratislava,mobile
INT-000159,CMP-050,social,2024-01-15,2024-01-28,2024-01-25,5.09,6,0,0,0.0,C01943,23,Regular,Western Slovakia,desktop
INT-000160,CMP-050,social,2024-01-15,2024-01-28,2024-01-26,5.94,7,0,0,0.0,C00402,40,Regular,Eastern Slovakia,mobile
INT-000161,CMP-050,social,2024-01-15,2024-01-28,2024-01-26,7.64,9,1,0,0.0,C00732,39,New,Western Slovakia,mobile
INT-000162,CMP-050,social,2024-01-15,2024-01-28,2024-01-26,4.24,5,1,1,178.26,C00465,25,Loyal,Western Slovakia,desktop
INT-000163,CMP-050,social,2024-01-15,2024-01-28,2024-01-26,3.39,4,0,0,0.0,C01190,36,Regular,Central Slovakia,tablet
INT-000164,CMP-050,social,2024-01-15,2024-01-28,2024-01-26,2.55,3,0,0,0.0,C01439,23,Regular,Eastern Slovakia,mobile
INT-000165,CMP-050,social,2024-01-15,2024-01-28,2024-01-26,8.49,10,0,0,0.0,C01004,46,Regular,Bratislava,mobile
INT-000166,CMP-050,social,2024-01-15,2024-01-28,2024-01-26,6.79,8,0,0,0.0,C02042,46,New,Central Slovakia,mobile
INT-000167,CMP-050,social,2024-01-15,2024-01-28,2024-01-27,2.55,3,0,0,0.0,C01186,21,Regular,Central Slovakia,mobile
INT-000168,CMP-050,social,2024-01-15,2024-01-28,2024-01-27,5.09,6,1,0,0.0,C00227,68,New,Bratislava,mobile
INT-000169,CMP-050,social,2024-01-15,2024-01-28,2024-01-27,6.79,8,0,0,0.0,C01684,53,New,Bratislava,desktop
INT-000170,CMP-050,social,2024-01-15,2024-01-28,2024-01-27,6.79,8,0,0,0.0,C00204,46,Loyal,Bratislava,mobile
INT-000171,CMP-050,social,2024-01-15,2024-01-28,2024-01-27,5.94,7,0,0,0.0,C00634,18,Regular,Bratislava,mobile
INT-000172,CMP-050,social,2024-01-15,2024-01-28,2024-01-27,2.55,3,0,0,0.0,C01206,30,Loyal,Bratislava,desktop
INT-000173,CMP-044,email,2024-01-23,2024-03-04,2024-01-23,3.07,3,1,0,0.0,C01752,31,Regular,Western Slovakia,mobile
INT-000174,CMP-044,email,2024-01-23,2024-03-04,2024-01-24,2.04,2,0,0,0.0,C01940,28,Regular,Bratislava,desktop
INT-000175,CMP-044,email,2024-01-23,2024-03-04,2024-01-24,14.31,14,0,0,0.0,C02132,66,Regular,Central Slovakia,mobile
INT-000176,CMP-044,email,2024-01-23,2024-03-04,2024-01-27,3.07,3,2,1,280.71,C01400,21,Loyal,Eastern Slovakia,desktop
INT-000177,CMP-044,email,2024-01-23,2024-03-04,2024-01-27,4.09,4,0,0,0.0,C01074,19,Loyal,Central Slovakia,mobile
INT-000178,CMP-044,email,2024-01-23,2024-03-04,2024-01-27,6.13,6,1,0,0.0,C02044,29,Regular,Bratislava,mobile
INT-000179,CMP-044,email,2024-01-23,2024-03-04,2024-01-31,4.09,4,0,0,0.0,C01096,53,Regular,Bratislava,mobile
INT-000180,CMP-044,email,2024-01-23,2024-03-04,2024-01-31,8.18,8,1,0,0.0,C00341,18,Loyal,Western Slovakia,desktop
INT-000181,CMP-044,email,2024-01-23,2024-03-04,2024-01-31,4.09,4,0,0,0.0,C01535,62,Regular,Central Slovakia,mobile
INT-000182,CMP-044,email,2024-01-23,2024-03-04,2024-02-01,6.13,6,0,0,0.0,C01978,41,New,Western Slovakia,desktop
INT-000183,CMP-044,email,2024-01-23,2024-03-04,2024-02-02,4.09,4,0,0,0.0,C00414,47,New,Eastern Slovakia,mobile
INT-000184,CMP-044,email,2024-01-23,2024-03-04,2024-02-02,3.07,3,0,0,0.0,C01360,35,New,Eastern Slovakia,desktop
INT-000185,CMP-044,email,2024-01-23,2024-03-04,2024-02-02,9.2,9,0,0,0.0,C00623,41,New,Western Slovakia,mobile
INT-000186,CMP-044,email,2024-01-23,2024-03-04,2024-02-03,6.13,6,1,0,0.0,C00090,43,New,Western Slovakia,mobile
INT-000187,CMP-044,email,2024-01-23,2024-03-04,2024-02-04,4.09,4,1,0,0.0,C00913,45,New,Bratislava,mobile
INT-000188,CMP-044,email,2024-01-23,2024-03-04,2024-02-04,6.13,6,2,0,0.0,C00981,44,Regular,Western Slovakia,mobile
INT-000189,CMP-044,email,2024-01-23,2024-03-04,2024-02-06,5.11,5,1,0,0.0,C00036,52,New,Bratislava,mobile
INT-000190,CMP-044,email,2024-01-23,2024-03-04,2024-02-06,7.16,7,1,0,0.0,C00672,41,New,Western Slovakia,mobile
INT-000191,CMP-044,email,2024-01-23,2024-03-04,2024-02-07,5.11,5,0,0,0.0,C01269,46,Regular,Bratislava,tablet
INT-000192,CMP-044,email,2024-01-23,2024-03-04,2024-02-07,3.07,3,0,0,0.0,C01756,46,New,Central Slovakia,desktop
INT-000193,CMP-044,email,2024-01-23,2024-03-04,2024-02-08,3.07,3,0,0,0.0,C00884,24,New,Bratislava,desktop
INT-000194,CMP-044,email,2024-01-23,2024-03-04,2024-02-08,3.07,3,0,0,0.0,C00149,51,New,Western Slovakia,desktop
INT-000195,CMP-044,email,2024-01-23,2024-03-04,2024-02-12,3.07,3,1,0,0.0,C01680,35,At-Risk,Bratislava,mobile
