customer_id,last_purchase,frequency,monetary,recency_days,segment_name
C00090,,,,,Prospect (no purchase)
C00091,,,,,Prospect (no purchase)
C00092,,,,,Prospect (no purchase)
C00093,2024-12-13,2.0,628.03,383.0,Occasional Repeat
C00094,,,,,Prospect (no purchase)
C00095,2025-03-04,1.0,404.79,302.0,One-off Lapsed
C00096,,,,,Prospect (no purchase)
C00097,2025-10-01,1.0,311.61,91.0,One-off Lapsed
C00098,2025-06-08,1.0,256.85,206.0,One-off Lapsed
C00099,,,,,Prospect (no purchase)
C00100,,,,,Prospect (no purchase)
C00101,,,,,Prospect (no purchase)
C00102,2024-04-07,1.0,203.46,633.0,One-off Lapsed
C00103,2025-09-20,1.0,195.64,102.0,One-off Lapsed
C00104,,,,,Prospect (no purchase)
C00105,,,,,Prospect (no purchase)
C00106,2025-11-16,4.0,1211.99,45.0,Champions
C00107,,,,,Prospect (no purchase)
C00108,,,,,Prospect (no purchase)
C00109,,,,,Prospect (no purchase)
C00110,,,,,Prospect (no purchase)
C00111,,,,,Prospect (no purchase)
C00112,2024-04-21,1.0,201.13,619.0,One-off Lapsed
C00113,,,,,Prospect (no purchase)
C00114,,,,,Prospect (no purchase)
C00115,2024-05-26,1.0,170.41,584.0,One-off Lapsed
C00116,,,,,Prospect (no purchase)
C00117,,,,,Prospect (no purchase)
C00118,,,,,Prospect (no purchase)
C00119,,,,,Prospect (no purchase)
C00120,,,,,Prospect (no purchase)
C00121,2025-11-27,2.0,210.76999999999998,34.0,Occasional Repeat
C00122,2024-05-01,1.0,154.8,609.0,One-off Lapsed
C00123,2024-05-16,1.0,160.26,594.0,One-off Lapsed
C00124,,,,,Prospect (no purchase)
C00125,,,,,Prospect (no purchase)
C00126,,,,,Prospect (no purchase)
C00127,,,,,Prospect (no purchase)
C00128,,,,,Prospect (no purchase)
C00129,,,,,Prospect (no purchase)
C00130,2024-09-30,1.0,343.15,457.0,One-off Lapsed
C00131,,,,,Prospect (no purchase)
C00132,,,,,Prospect (no purchase)
C00133,2025-11-09,1.0,119.76,52.0,One-off Lapsed
C00134,2025-09-08,1.0,154.24,114.0,One-off Lapsed
C00135,,,,,Prospect (no purchase)
C00136,2025-05-13,2.0,395.07,232.0,Occasional Repeat
C00137,,,,,Prospect (no purchase)
C00138,2025-02-23,1.0,233.26,311.0,One-off Lapsed
C00139,2024-02-25,1.0,156.46,675.0,One-off Lapsed
C00140,,,,,Prospect (no purchase)
C00141,2025-12-30,1.0,180.17,1.0,Recent Buyers
C00142,,,,,Prospect (no purchase)
C00143,,,,,Prospect (no purchase)
C00144,,,,,Prospect (no purchase)
C00145,2024-04-05,1.0,167.53,635.0,One-off Lapsed
C00146,,,,,Prospect (no purchase)
C00147,,,,,Prospect (no purchase)
C00148,,,,,Prospect (no purchase)
C00149,,,,,Prospect (no purchase)
C00150,2025-09-14,1.0,129.62,108.0,One-off Lapsed
C00151,,,,,Prospect (no purchase)
C00152,2025-02-18,3.0,873.1099999999999,316.0,Champions
C00153,,,,,Prospect (no purchase)
C00154,,,,,Prospect (no purchase)
C00155,2024-07-04,2.0,602.31,545.0,Occasional Repeat
C00156,,,,,Prospect (no purchase)
C00157,,,,,Prospect (no purchase)
C00158,,,,,Prospect (no purchase)
C00159,,,,,Prospect (no purchase)
C00160,2024-07-13,2.0,537.62,536.0,Occasional Repeat
C00161,2024-12-28,3.0,654.74,368.0,Champions
C00162,,,,,Prospect (no purchase)
C00163,2024-04-13,1.0,215.41,627.0,One-off Lapsed
C00164,2025-01-06,2.0,281.39,359.0,Occasional Repeat
C00165,2024-04-06,1.0,178.58,634.0,One-off Lapsed
C00166,,,,,Prospect (no purchase)
C00167,,,,,Prospect (no purchase)
C00168,2024-06-27,1.0,267.47,552.0,One-off Lapsed
C00169,,,,,Prospect (no purchase)
C00170,,,,,Prospect (no purchase)
C00171,,,,,Prospect (no purchase)
C00172,,,,,Prospect (no purchase)
C00173,2025-04-10,1.0,225.68,265.0,One-off Lapsed
C00174,,,,,Prospect (no purchase)
C00175,,,,,Prospect (no purchase)
C00176,,,,,Prospect (no purchase)
C00177,,,,,Prospect (no purchase)
C00178,,,,,Prospect (no purchase)
C00179,,,,,Prospect (no purchase)
C00180,2024-08-08,1.0,316.11,510.0,One-off Lapsed
C00181,,,,,Prospect (no purchase)
C00182,2025-03-26,1.0,230.23,280.0,One-off Lapsed
C00183,,,,,Prospect (no purchase)
C00184,2025-03-22,1.0,229.59,284.0,One-off Lapsed
C00185,2025-11-16,1.0,147.52,45.0,One-off Lapsed
C00186,,,,,Prospect (no purchase)
C00187,,,,,Prospect (no purchase)
C00188,2024-12-24,1.0,240.98,372.0,One-off Lapsed
C00189,2024-06-24,1.0,252.21,555.0,One-off Lapsed
C00190,,,,,Prospect (no purchase)
C00191,,,,,Prospect (no purchase)
C00192,2024-06-28,1.0,231.26,551.0,One-off Lapsed
C00193,,,,,Prospect (no purchase)
C00194,2024-08-03,1.0,266.5,515.0,One-off Lapsed
C00195,,,,,Prospect (no purchase)
C00196,,,,,Prospect (no purchase)
C00197,,,,,Prospect (no purchase)
C00198,,,,,Prospect (no purchase)
C00199,2025-09-24,1.0,230.46,98.0,One-off Lapsed
C00200,2025-01-02,3.0,675.04,363.0,Champions
C00201,,,,,Prospect (no purchase)
C00202,,,,,Prospect (no purchase)
C00203,,,,,Prospect (no purchase)
C00204,,,,,Prospect (no purchase)
C00205,2024-02-28,1.0,182.32,672.0,One-off Lapsed
C00206,2025-11-03,1.0,184.78,58.0,One-off Lapsed
C00207,,,,,Prospect (no purchase)
C00208,,,,,Prospect (no purchase)
C00209,,,,,Prospect (no purchase)
C00210,2025-12-29,1.0,195.57,2.0,Recent Buyers
C00211,2024-05-02,1.0,300.6,608.0,One-off Lapsed
C00212,,,,,Prospect (no purchase)
C00213,,,,,Prospect (no purchase)
C00214,,,,,Prospect (no purchase)
C00215,,,,,Prospect (no purchase)
C00216,2024-06-28,1.0,318.14,551.0,One-off Lapsed
C00217,,,,,Prospect (no purchase)
C00218,,,,,Prospect (no purchase)
C00219,2025-08-23,3.0,486.06,130.0,Champions
C00220,,,,,Prospect (no purchase)
C00221,,,,,Prospect (no purchase)
C00222,,,,,Prospect (no purchase)
C00223,,,,,Prospect (no purchase)
C00224,,,,,Prospect (no purchase)
C00225,,,,,Prospect (no purchase)
C00226,,,,,Prospect (no purchase)
C00227,2024-04-27,1.0,176.35,613.0,One-off Lapsed
C00228,,,,,Prospect (no purchase)
C00229,,,,,Prospect (no purchase)
C00230,,,,,Prospect (no purchase)
C00231,,,,,Prospect (no purchase)
C00232,,,,,Prospect (no purchase)
C00233,,,,,Prospect (no purchase)
C00234,2025-04-09,1.0,143.04,266.0,One-off Lapsed
C00235,,,,,Prospect (no purchase)
C00236,2024-09-11,1.0,196.46,476.0,One-off Lapsed
C00237,,,,,Prospect (no purchase)
C00238,2025-02-09,1.0,308.95,325.0,One-off Lapsed
C00239,,,,,Prospect (no purchase)
C00240,2024-12-27,1.0,209.91,369.0,One-off Lapsed
C00241,,,,,Prospect (no purchase)
C00242,2024-07-05,1.0,278.31,544.0,One-off Lapsed
C00243,,,,,Prospect (no purchase)
C00244,,,,,Prospect (no purchase)
C00245,,,,,Prospect (no purchase)
C00246,,,,,Prospect (no purchase)
C00247,,,,,Prospect (no purchase)
C00248,,,,,Prospect (no purchase)
C00249,,,,,Prospect (no purchase)
C00250,,,,,Prospect (no purchase)
C00251,,,,,Prospect (no purchase)
C00252,2025-12-25,1.0,210.58,6.0,Recent Buyers
C00253,2024-04-12,1.0,121.53,628.0,One-off Lapsed
C00254,,,,,Prospect (no purchase)
C00255,,,,,Prospect (no purchase)
C00256,,,,,Prospect (no purchase)
C00257,,,,,Prospect (no purchase)
C00258,,,,,Prospect (no purchase)
C00259,,,,,Prospect (no purchase)
C00260,,,,,Prospect (no purchase)
C00261,2024-07-08,1.0,157.19,541.0,One-off Lapsed
C00262,2025-11-29,1.0,80.97,32.0,One-off Lapsed
C00263,,,,,Prospect (no purchase)
C00264,,,,,Prospect (no purchase)
C00265,,,,,Prospect (no purchase)
C00266,2024-05-15,1.0,336.36,595.0,One-off Lapsed
C00267,,,,,Prospect (no purchase)
C00268,2024-10-02,1.0,165.09,455.0,One-off Lapsed
C00269,,,,,Prospect (no purchase)
C00270,,,,,Prospect (no purchase)
C00271,2024-06-26,1.0,181.43,553.0,One-off Lapsed
C00272,,,,,Prospect (no purchase)
C00273,,,,,Prospect (no purchase)
C00274,,,,,Prospect (no purchase)
C00275,,,,,Prospect (no purchase)
C00276,,,,,Prospect (no purchase)
C00277,,,,,Prospect (no purchase)
C00278,,,,,Prospect (no purchase)
C00279,,,,,Prospect (no purchase)
C00280,,,,,Prospect (no purchase)
C00281,,,,,Prospect (no purchase)
C00282,2025-03-02,1.0,137.66,304.0,One-off Lapsed
C00283,,,,,Prospect (no purchase)
C00284,,,,,Prospect (no purchase)
C00285,,,,,Prospect (no purchase)
C00286,,,,,Prospect (no purchase)
C00287,2025-09-25,2.0,549.38,97.0,Occasional Repeat
C00288,,,,,Prospect (no purchase)
C00289,,,,,Prospect (no purchase)
C00290,,,,,Prospect (no purchase)
C00291,,,,,Prospect (no purchase)
C00292,,,,,Prospect (no purchase)
C00293,,,,,Prospect (no purchase)
C00294,,,,,Prospect (no purchase)
C00295,,,,,Prospect (no purchase)
C00296,,,,,Prospect (no purchase)
C00297,,,,,Prospect (no purchase)
C00298,,,,,Prospect (no purchase)
C00299,,,,,Prospect (no purchase)
C00300,,,,,Prospect (no purchase)
C00301,,,,,Prospect (no purchase)
C00302,,,,,Prospect (no purchase)
C00303,,,,,Prospect (no purchase)
C00304,2024-07-02,1.0,302.52,547.0,One-off Lapsed
C00305,,,,,Prospect (no purchase)
C00306,2025-12-14,2.0,431.65999999999997,17.0,Occasional Repeat
C00307,,,,,Prospect (no purchase)
C00308,,,,,Prospect (no purchase)
C00309,,,,,Prospect (no purchase)
C00310,,,,,Prospect (no purchase)
C00311,2025-12-31,2.0,344.47,0.0,Recent Buyers
C00312,,,,,Prospect (no purchase)
C00313,,,,,Prospect (no purchase)
C00314,,,,,Prospect (no purchase)
C00315,,,,,Prospect (no purchase)
C00316,,,,,Prospect (no purchase)
C00317,,,,,Prospect (no purchase)
C00318,,,,,Prospect (no purchase)
C00319,,,,,Prospect (no purchase)
C00320,,,,,Prospect (no purchase)
C00321,2025-12-31,1.0,172.98,0.0,Recent Buyers
C00322,2025-12-09,1.0,160.65,22.0,One-off Lapsed
C00323,,,,,Prospect (no purchase)
C00324,2025-02-24,2.0,411.32,310.0,Occasional Repeat
C00325,,,,,Prospect (no purchase)
C00326,,,,,Prospect (no purchase)
C00327,2025-05-08,1.0,205.51,237.0,One-off Lapsed
C00328,2025-11-18,2.0,559.39,43.0,Occasional Repeat
C00329,,,,,Prospect (no purchase)
C00330,2025-12-31,2.0,294.26,0.0,Recent Buyers
C00331,,,,,Prospect (no purchase)
C00332,2024-07-14,1.0,367.82,535.0,One-off Lapsed
C00333,,,,,Prospect (no purchase)
C00334,,,,,Prospect (no purchase)
C00335,,,,,Prospect (no purchase)
C00336,,,,,Prospect (no purchase)
C00337,2024-10-24,1.0,210.62,433.0,One-off Lapsed
C00338,,,,,Prospect (no purchase)
C00339,,,,,Prospect (no purchase)
C00340,,,,,Prospect (no purchase)
C00341,2025-07-14,4.0,976.6600000000001,170.0,Champions
C00342,2024-04-13,1.0,185.62,627.0,One-off Lapsed
C00343,2025-05-04,1.0,230.68,241.0,One-off Lapsed
C00344,,,,,Prospect (no purchase)
C00345,2025-02-18,1.0,261.22,316.0,One-off Lapsed
C00346,2025-05-13,1.0,312.52,232.0,One-off Lapsed
C00347,2024-10-12,1.0,139.0,445.0,One-off Lapsed
C00348,2025-05-09,1.0,168.76,236.0,One-off Lapsed
C00349,,,,,Prospect (no purchase)
C00350,,,,,Prospect (no purchase)
C00351,,,,,Prospect (no purchase)
C00352,2025-09-29,1.0,259.61,93.0,One-off Lapsed
C00353,,,,,Prospect (no purchase)
C00354,,,,,Prospect (no purchase)
C00355,,,,,Prospect (no purchase)
C00356,,,,,Prospect (no purchase)
C00357,,,,,Prospect (no purchase)
C00358,,,,,Prospect (no purchase)
C00359,,,,,Prospect (no purchase)
C00360,,,,,Prospect (no purchase)
C00361,,,,,Prospect (no purchase)
C00362,2025-09-29,1.0,148.48,93.0,One-off Lapsed
C00363,,,,,Prospect (no purchase)
C00364,,,,,Prospect (no purchase)
C00365,,,,,Prospect (no purchase)
C00366,,,,,Prospect (no purchase)
C00367,,,,,Prospect (no purchase)
C00368,2025-12-26,2.0,525.39,5.0,Recent Buyers
C00369,,,,,Prospect (no purchase)
C00370,,,,,Prospect (no purchase)
C00371,,,,,Prospect (no purchase)
C00372,,,,,Prospect (no purchase)
C00373,,,,,Prospect (no purchase)
C00374,,,,,Prospect (no purchase)
C00375,,,,,Prospect (no purchase)
C00376,,,,,Prospect (no purchase)
C00377,,,,,Prospect (no purchase)
C00378,,,,,Prospect (no purchase)
C00379,2025-01-21,1.0,147.86,344.0,One-off Lapsed
C00380,,,,,Prospect (no purchase)
C00381,,,,,Prospect (no purchase)
C00382,,,,,Prospect (no purchase)
C00383,,,,,Prospect (no purchase)
C00384,,,,,Prospect (no purchase)
C00385,,,,,Prospect (no purchase)
C00386,,,,,Prospect (no purchase)
C00387,,,,,Prospect (no purchase)
C00388,2024-12-11,3.0,815.5,385.0,Champions
C00389,,,,,Prospect (no purchase)
C00390,,,,,Prospect (no purchase)
C00391,2024-09-15,1.0,105.81,472.0,One-off Lapsed
C00392,2025-07-22,1.0,302.52,162.0,One-off Lapsed
C00393,,,,,Prospect (no purchase)
C00394,2025-04-22,1.0,392.87,253.0,One-off Lapsed
C00395,,,,,Prospect (no purchase)
C00396,,,,,Prospect (no purchase)
C00397,2025-08-09,3.0,876.14,144.0,Champions
C00398,2024-03-02,1.0,367.54,669.0,One-off Lapsed
C00399,,,,,Prospect (no purchase)
C00400,,,,,Prospect (no purchase)
C00401,,,,,Prospect (no purchase)
C00402,,,,,Prospect (no purchase)
C00403,2025-09-24,2.0,281.8,98.0,Occasional Repeat
C00404,,,,,Prospect (no purchase)
C00405,,,,,Prospect (no purchase)
C00406,,,,,Prospect (no purchase)
C00407,,,,,Prospect (no purchase)
C00408,,,,,Prospect (no purchase)
C00409,,,,,Prospect (no purchase)
C00410,2024-09-02,1.0,182.44,485.0,One-off Lapsed
C00411,2025-12-31,3.0,1071.05,0.0,Recent Buyers
C00412,,,,,Prospect (no purchase)
C00413,,,,,Prospect (no purchase)
C00414,2025-02-21,1.0,121.73,313.0,One-off Lapsed
C00415,,,,,Prospect (no purchase)
C00416,2024-07-06,1.0,520.95,543.0,One-off Lapsed
C00417,,,,,Prospect (no purchase)
C00418,,,,,Prospect (no purchase)
C00419,,,,,Prospect (no purchase)
C00420,,,,,Prospect (no purchase)
C00421,,,,,Prospect (no purchase)
C00422,,,,,Prospect (no purchase)
C00423,2024-03-12,1.0,165.79,659.0,One-off Lapsed
C00424,,,,,Prospect (no purchase)
C00425,,,,,Prospect (no purchase)
C00426,,,,,Prospect (no purchase)
C00427,,,,,Prospect (no purchase)
C00428,2025-10-01,1.0,428.78,91.0,One-off Lapsed
C00429,,,,,Prospect (no purchase)
C00430,,,,,Prospect (no purchase)
C00431,,,,,Prospect (no purchase)
C00432,2025-12-04,4.0,960.29,27.0,Champions
C00433,,,,,Prospect (no purchase)
C00434,,,,,Prospect (no purchase)
C00435,,,,,Prospect (no purchase)
C00436,2024-05-26,1.0,134.64,584.0,One-off Lapsed
C00437,,,,,Prospect (no purchase)
C00438,,,,,Prospect (no purchase)
C00439,,,,,Prospect (no purchase)
C00440,,,,,Prospect (no purchase)
C00441,,,,,Prospect (no purchase)
C00442,2025-05-06,1.0,146.6,239.0,One-off Lapsed
C00443,,,,,Prospect (no purchase)
C00444,,,,,Prospect (no purchase)
C00445,,,,,Prospect (no purchase)
C00446,,,,,Prospect (no purchase)
C00447,,,,,Prospect (no purchase)
C00448,,,,,Prospect (no purchase)
C00449,,,,,Prospect (no purchase)
C00450,,,,,Prospect (no purchase)
C00451,,,,,Prospect (no purchase)
C00452,,,,,Prospect (no purchase)
C00453,,,,,Prospect (no purchase)
C00454,2024-06-23,1.0,237.82,556.0,One-off Lapsed
C00455,2024-10-27,1.0,254.85,430.0,One-off Lapsed
C00456,2024-04-29,1.0,193.39,611.0,One-off Lapsed
C00457,,,,,Prospect (no purchase)
C00458,2024-03-28,1.0,198.59,643.0,One-off Lapsed
C00459,,,,,Prospect (no purchase)
C00460,,,,,Prospect (no purchase)
C00461,,,,,Prospect (no purchase)
C00462,,,,,Prospect (no purchase)
C00463,,,,,Prospect (no purchase)
C00464,,,,,Prospect (no purchase)
C00465,2024-01-26,1.0,178.26,705.0,One-off Lapsed
C00466,,,,,Prospect (no purchase)
C00467,2025-10-03,1.0,181.41,89.0,One-off Lapsed
C00468,,,,,Prospect (no purchase)
C00469,,,,,Prospect (no purchase)
C00470,,,,,Prospect (no purchase)
C00471,2025-12-27,1.0,150.4,4.0,Recent Buyers
C00472,,,,,Prospect (no purchase)
C00473,,,,,Prospect (no purchase)
C00474,,,,,Prospect (no purchase)
C00475,,,,,Prospect (no purchase)
C00476,2024-08-02,1.0,284.25,516.0,One-off Lapsed
C00477,2024-03-03,2.0,711.05,668.0,Occasional Repeat
C00478,,,,,Prospect (no purchase)
C00479,,,,,Prospect (no purchase)
C00480,,,,,Prospect (no purchase)
C00481,,,,,Prospect (no purchase)
C00482,,,,,Prospect (no purchase)
C00483,,,,,Prospect (no purchase)
C00484,,,,,Prospect (no purchase)
C00485,,,,,Prospect (no purchase)
C00486,,,,,Prospect (no purchase)
C00487,,,,,Prospect (no purchase)
C00488,,,,,Prospect (no purchase)
C00489,,,,,Prospect (no purchase)
C00490,2025-11-21,5.0,1052.51,40.0,Champions
C00491,,,,,Prospect (no purchase)
C00492,,,,,Prospect (no purchase)
C00493,,,,,Prospect (no purchase)
C00494,,,,,Prospect (no purchase)
C00495,2025-12-01,1.0,168.47,30.0,One-off Lapsed
C00496,2024-12-24,1.0,285.73,372.0,One-off Lapsed
C00497,,,,,Prospect (no purchase)
C00498,2024-06-24,1.0,351.01,555.0,One-off Lapsed
C00499,,,,,Prospect (no purchase)
C00500,2024-04-13,1.0,143.57,627.0,One-off Lapsed
C00501,,,,,Prospect (no purchase)
C00502,2025-07-11,3.0,789.44,173.0,Champions
C00503,2024-09-27,1.0,234.35,460.0,One-off Lapsed
C00504,,,,,Prospect (no purchase)
C00505,,,,,Prospect (no purchase)
C00506,,,,,Prospect (no purchase)
C00507,,,,,Prospect (no purchase)
C00508,2025-08-03,2.0,561.97,150.0,Occasional Repeat
C00509,,,,,Prospect (no purchase)
C00510,2024-09-19,1.0,243.66,468.0,One-off Lapsed
C00511,,,,,Prospect (no purchase)
C00512,,,,,Prospect (no purchase)
C00513,,,,,Prospect (no purchase)
C00514,,,,,Prospect (no purchase)
C00515,,,,,Prospect (no purchase)
C00516,,,,,Prospect (no purchase)
C00517,,,,,Prospect (no purchase)
C00518,2025-07-17,1.0,125.72,167.0,One-off Lapsed
C00519,,,,,Prospect (no purchase)
C00520,,,,,Prospect (no purchase)
C00521,,,,,Prospect (no purchase)
C00522,,,,,Prospect (no purchase)
C00523,,,,,Prospect (no purchase)
C00524,,,,,Prospect (no purchase)
C00525,2024-06-26,2.0,395.24,553.0,Occasional Repeat
C00526,,,,,Prospect (no purchase)
C00527,,,,,Prospect (no purchase)
C00528,,,,,Prospect (no purchase)
C00529,2024-03-04,1.0,104.71,667.0,One-off Lapsed
C00530,,,,,Prospect (no purchase)
C00531,,,,,Prospect (no purchase)
C00532,,,,,Prospect (no purchase)
C00533,,,,,Prospect (no purchase)
C00534,,,,,Prospect (no purchase)
C00535,,,,,Prospect (no purchase)
C00536,,,,,Prospect (no purchase)
C00537,2024-09-12,1.0,154.19,475.0,One-off Lapsed
C00538,,,,,Prospect (no purchase)
C00539,,,,,Prospect (no purchase)
C00540,,,,,Prospect (no purchase)
C00541,,,,,Prospect (no purchase)
C00542,2024-09-12,1.0,79.62,475.0,One-off Lapsed
C00543,,,,,Prospect (no purchase)
C00544,,,,,Prospect (no purchase)
C00545,,,,,Prospect (no purchase)
C00546,,,,,Prospect (no purchase)
C00547,,,,,Prospect (no purchase)
C00548,,,,,Prospect (no purchase)
C00549,2025-02-04,2.0,460.35,330.0,Occasional Repeat
C00550,,,,,Prospect (no purchase)
C00551,,,,,Prospect (no purchase)
C00552,2024-04-12,1.0,136.29,628.0,One-off Lapsed
C00553,,,,,Prospect (no purchase)
C00554,,,,,Prospect (no purchase)
C00555,,,,,Prospect (no purchase)
C00556,2024-11-26,1.0,180.11,400.0,One-off Lapsed
C00557,,,,,Prospect (no purchase)
C00558,,,,,Prospect (no purchase)
C00559,,,,,Prospect (no purchase)
C00560,,,,,Prospect (no purchase)
C00561,,,,,Prospect (no purchase)
C00562,2024-07-09,3.0,641.35,540.0,Champions
C00563,2025-11-14,3.0,1420.15,47.0,Champions
C00564,,,,,Prospect (no purchase)
C00565,,,,,Prospect (no purchase)
C00566,,,,,Prospect (no purchase)
C00567,2025-12-14,1.0,174.92,17.0,Recent Buyers
C00568,,,,,Prospect (no purchase)
C00569,,,,,Prospect (no purchase)
C00570,,,,,Prospect (no purchase)
C00571,,,,,Prospect (no purchase)
C00572,,,,,Prospect (no purchase)
C00573,,,,,Prospect (no purchase)
C00574,,,,,Prospect (no purchase)
C00575,,,,,Prospect (no purchase)
C00576,2024-05-23,1.0,298.74,587.0,One-off Lapsed
C00577,,,,,Prospect (no purchase)
C00578,,,,,Prospect (no purchase)
C00579,2025-11-03,1.0,187.44,58.0,One-off Lapsed
C00580,2025-11-10,3.0,1023.9200000000001,51.0,Champions
C00581,,,,,Prospect (no purchase)
C00582,2024-05-06,1.0,210.24,604.0,One-off Lapsed
C00583,,,,,Prospect (no purchase)
C00584,,,,,Prospect (no purchase)
C00585,,,,,Prospect (no purchase)
C00586,,,,,Prospect (no purchase)
C00587,,,,,Prospect (no purchase)
C00588,,,,,Prospect (no purchase)
C00589,,,,,Prospect (no purchase)
C00590,,,,,Prospect (no purchase)
C00591,,,,,Prospect (no purchase)
C00592,,,,,Prospect (no purchase)
C00593,,,,,Prospect (no purchase)
C00594,,,,,Prospect (no purchase)
C00595,,,,,Prospect (no purchase)
C00596,,,,,Prospect (no purchase)
C00597,,,,,Prospect (no purchase)
C00598,,,,,Prospect (no purchase)
C00599,,,,,Prospect (no purchase)
C00600,2025-05-01,1.0,258.05,244.0,One-off Lapsed
C00601,2024-12-25,2.0,382.06,371.0,Occasional Repeat
C00602,,,,,Prospect (no purchase)
C00603,,,,,Prospect (no purchase)
C00604,,,,,Prospect (no purchase)
C00605,,,,,Prospect (no purchase)
C00606,,,,,Prospect (no purchase)
C00607,,,,,Prospect (no purchase)
C00608,2024-02-25,1.0,137.53,675.0,One-off Lapsed
C00609,2024-09-03,1.0,119.25,484.0,One-off Lapsed
C00610,,,,,Prospect (no purchase)
C00611,,,,,Prospect (no purchase)
C00612,,,,,Prospect (no purchase)
C00613,,,,,Prospect (no purchase)
C00614,,,,,Prospect (no purchase)
C00615,2024-09-14,2.0,258.54999999999995,473.0,Occasional Repeat
C00616,,,,,Prospect (no purchase)
C00617,,,,,Prospect (no purchase)
C00618,,,,,Prospect (no purchase)
C00619,,,,,Prospect (no purchase)
C00620,,,,,Prospect (no purchase)
C00621,,,,,Prospect (no purchase)
C00622,,,,,Prospect (no purchase)
C00623,2025-08-10,1.0,255.6,143.0,One-off Lapsed
C00624,,,,,Prospect (no purchase)
